target,descriptor,model,cv_rmse,cv_cliff_rmse,test_rmse,test_cliff_rmse,cv_stratified
5-HT7,ECFP,RF,0.6977539586633339,0.7633254601044005,0.6913860595907119,0.7458230762813587,True
5-HT7,ECFP,SVM,0.6905494644298611,0.7359813377233965,0.6669072142655025,0.7081613690668489,True
5-HT7,ECFP,GBM,0.7240444475357369,0.7912212426122082,0.7023909150896412,0.7548545529358484,True
5-HT7,ECFP,KNN,0.7366705833797443,0.7916987057505865,0.7229462186543011,0.7923846757009584,True
5-HT7,MACCS,RF,0.7722985122299836,0.8370991029434882,0.7608921529207454,0.8193745571336107,True
5-HT7,MACCS,SVM,0.7655571868407396,0.837791473493854,0.7696921894385995,0.841527262859207,True
5-HT7,MACCS,GBM,0.7571921730527538,0.8291706034118516,0.7418543113362646,0.7973242943097659,True
5-HT7,MACCS,KNN,0.843936061391928,0.9083297506465744,0.8156013700485972,0.8667917922968937,True
5-HT7,PHYSCHEM,RF,0.8755964190712284,0.9258499621729884,0.838977245350078,0.8944867392610552,True
5-HT7,PHYSCHEM,SVM,0.9677815970316358,0.9347954588009793,0.8972950691682919,0.8938365090478899,True
5-HT7,PHYSCHEM,GBM,0.8903526894309937,0.9360887171148136,0.8702802098189361,0.898854398004969,True
5-HT7,PHYSCHEM,KNN,0.9110663551348882,0.9535097015141852,0.8695949380794201,0.9032578122288664,True
5-HT7,WHIM,RF,0.9645928047878486,1.0206914106643064,0.9767186874418272,1.0704063218819484,True
5-HT7,WHIM,SVM,0.9792401034232472,1.0603755161718234,0.998888501116153,1.1160048439169756,True
5-HT7,WHIM,GBM,0.9801814133342548,1.034012439788365,0.999834396959846,1.0603326481110902,True
5-HT7,WHIM,KNN,1.0149493850412032,1.073255034897919,1.0305838411959032,1.0962530928285,True
AChE,ECFP,RF,1.0041742487825032,1.1388403706268388,1.0349933323436489,1.139770334663741,True
AChE,ECFP,SVM,0.960549485947089,1.1375179822433537,1.0737165819268872,1.0780095887479264,True
AChE,ECFP,GBM,0.9693825051995852,1.133276700987074,1.033648203529568,1.09012023840048,True
AChE,ECFP,KNN,1.1185794986784725,1.1721606067377677,1.047025832237675,1.3255666772655987,True
AChE,MACCS,RF,1.031938489829325,1.1839276967332917,1.0579028254322536,1.43468218036245,True
AChE,MACCS,SVM,0.9936504756977492,1.1857321229786844,1.0901361970293546,1.5100092638471028,True
AChE,MACCS,GBM,1.003814231316371,1.2210948793842007,1.1243833704510238,1.489622082088095,True
AChE,MACCS,KNN,1.1079228641279857,1.3152131852475133,1.0210891830425526,1.47315672035352,True
AChE,PHYSCHEM,RF,1.2452526796363512,1.277788539149459,1.1570336138737596,1.5402852837465482,True
AChE,PHYSCHEM,SVM,1.420629179798537,1.3394103849061354,1.2221964730499932,1.1707112138924542,True
AChE,PHYSCHEM,GBM,1.270751171594779,1.3174393875049664,1.152784399878133,1.4595652802647203,True
AChE,PHYSCHEM,KNN,1.2380019441086565,1.320010005048302,1.2031292376331224,1.680000228259415,True
AChE,WHIM,RF,1.4980234849747318,1.498299863184536,1.5308527126071994,1.7886984185488382,True
AChE,WHIM,SVM,1.5821463629537744,1.4754446508898351,1.620639679850355,1.7860708609388691,True
AChE,WHIM,GBM,1.5013042152904046,1.49016398041619,1.5464028182507927,1.761336950106767,True
AChE,WHIM,KNN,1.5826726759943934,1.504948448174285,1.5836595843567725,1.858858599282804,True
Bcl-2,ECFP,RF,0.7135266042050994,0.7504642235155449,0.7321509647832557,0.7578667391402293,True
Bcl-2,ECFP,SVM,0.657908847997602,0.694098814095413,0.699782957399881,0.7109784167224249,True
Bcl-2,ECFP,GBM,0.689600546446193,0.7257153747077554,0.7517229105412827,0.7798004395008239,True
Bcl-2,ECFP,KNN,0.7591677170635841,0.7980782042301918,0.8000910761364715,0.8901292847705892,True
