BindingDB_ID,smiles,value,standard_type
50332904,NS(=O)(=O)c1ccc(CCNCc2cc(Br)ccc2O)cc1,4.3,Ki (nM)
51051618,NS(=O)(=O)c1ccc(NC(=O)C(=C\c2ccco2)\C#N)cc1,4.3,Ki (nM)
50932864,OCCN(CCO)C([S-])=S,4.3,Ki (nM)
51544793,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCC(CC1)C(=O)NCc1ccccc1Cl,4.3,Ki (nM)
51404861,Cc1ccc(cc1)S(=O)(=O)CCC(=O)Nc1ccc(cc1)S(N)(=O)=O,4.3,Ki (nM)
50742898,NS(=O)(=O)c1nnc(NS(=O)(=O)c2c(F)c(F)cc(F)c2F)s1,4.3,Ki (nM)
50332757,NS(=O)(=O)c1ccc(CCNCc2ccccc2)cc1,4.3,Ki (nM)
50076132,[S-]C(=S)OCCc1ccccn1,4.3,Ki (nM)
51208369,NC(=O)c1cn(nc1-c1ccccc1)-c1ccc(cc1)S(N)(=O)=O,4.3,Ki (nM)
50365630,CSc1nn(CC(=O)Nc2nc3ccc(cc3s2)S(N)(=O)=O)c2nc[nH]c(=O)c12,4.3,Ki (nM)
51255536,NS(=O)(=O)c1ccc(NC(=O)CN2C(=O)NC3(CCCCCC3)C2=O)cc1,4.3,Ki (nM)
50932855,[S-]C(=S)NCCCn1ccnc1,4.3,Ki (nM)
51591009,NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2ccc(Cl)cc2)cc1,4.4,Ki (nM)
51591014,NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2ccc3ccccc3c2)cc1,4.4,Ki (nM)
50252135,OC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)c(Cl)c(Cl)c(Cl)c2Cl,4.4,Ki (nM)
50252084,NS(=O)(=O)c1ccc(cc1)N1C(=O)[C@H]2CC=CC[C@H]2C1=O,4.4,Ki (nM)
50767480,NS(=O)(=O)c1cccc(c1)-n1c(S)nc2ccc(F)cc2c1=O,4.4,Ki (nM)
50291375,NS(=O)(=O)c1c(F)c(F)c(c(F)c1F)-n1cc(CCCCCl)nn1,4.5,Ki (nM)
50932859,CC(C)CN(CC(C)C)C([S-])=S,4.5,Ki (nM)
51591015,NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1,4.5,Ki (nM)
51286550,CC(C)(C)N1[S+]([O-])C(=CC1=O)c1ccccc1,4.5,Ki (nM)
50964305,CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)C(=O)NCCc1ccc(cc1)S(N)(=O)=O,4.5,Ki (nM)
50932848,[S-]C(=S)NCCN1CCOCC1,4.5,Ki (nM)
51117810,NS(=O)(=O)c1ccc(NC2=NC(=O)CS2)cc1,4.5,Ki (nM)
51583801,C=C(C)[C@@H]1CC[C@]2(COS(N)(=O)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)NCC)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.5,Ki (nM)
50252085,OC(=O)c1ccc(cc1)N1C(=O)[C@H]2CC=CC[C@H]2C1=O,4.5,Ki (nM)
50401583,COc1ccc(cc1S(N)(=O)=O)-c1cnc(o1)C(=O)N1CCOCC1,4.5,Ki (nM)
51590988,NS(=O)(=O)c1ccc(CCN(Cc2cccc(OCC(=O)O)c2)S(=O)(=O)c2cccnc2)cc1,4.5,Ki (nM)
51243180,NS(=O)(=O)c1nnc(NC(=O)C(\Cc2ccccc2)=N\OC2CCCCO2)s1,4.6,Ki (nM)
50252189,NS(=O)(=O)c1ccc(CN2C(=O)c3cccc4cccc(C2=O)c34)cc1,4.6,Ki (nM)
50305884,NS(=O)(=O)c1ccc(CCNC(=S)Nc2ccc(cc2)S(=O)(=O)NCc2ccc(cc2)S(N)(=O)=O)cc1,4.6,Ki (nM)
50582103,Cn1nnnc1Sc1ccncc1S(N)(=O)=O,4.6,Ki (nM)
50795117,NS(=O)(=O)c1ccc(NC(=[Se])NC(=O)c2ccccc2)cc1,4.6,Ki (nM)
50746525,On1c(=O)[nH]c2ccc(cc2c1=O)[N+]([O-])=O,4.6,Ki (nM)
50823116,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(NC(=S)NCCCN3CCN(CCCNC(=S)Nc4ccc(cc4)S(=O)(=O)Nc4nnc(s4)S(N)(=O)=O)CC3)cc2)s1,4.6,Ki (nM)
50932900,CCC(C)NC([S-])=S,4.6,Ki (nM)
51241261,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCC(O)(CC1)c1ccc(Br)cc1,4.7,Ki (nM)
51544788,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCC(CC1)C(=O)NCc1ccccc1,4.7,Ki (nM)
51513685,NS(=O)(=O)c1ccc(CCNC(=O)C[Se]c2ccccc2)cc1,4.7,Ki (nM)
51204517,Cc1cc(c(SCc2ccccc2)cc1Cl)S(=O)(=O)NC(=N)Nc1nnc(s1)S(N)(=O)=O,4.7,Ki (nM)
51591006,NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2ccccc2)cc1,4.7,Ki (nM)
50291374,NS(=O)(=O)c1c(F)c(F)c(c(F)c1F)-n1cc(CCCCl)nn1,4.7,Ki (nM)
51197049,NS(=O)(=O)c1ccc(cc1)N1C(SCC1=O)c1ccc(Cl)cc1,4.7,Ki (nM)
51276248,Cc1ccc(CN2C(=O)\C(=N/c3ccc(NC(=O)Nc4ccc(cc4)S(N)(=O)=O)cc3)c3ccccc23)cc1,4.7,Ki (nM)
51197530,NS(=O)(=O)c1ccc(NC(=O)Cc2ccc(F)cc2)cc1,4.7,Ki (nM)
50105476,Cc1ccc(cc1)-c1nnc(o1)-c1cc(c(Cl)cc1Cl)S(N)(=O)=O,4.7,Ki (nM)
50918321,Nc1nc(N)c2nc(CNCCc3ccc(cc3)S(N)(=O)=O)cnc2n1,4.7,Ki (nM)
51228799,NS(=O)(=O)c1ccc(cc1)-n1nnc(-c2nnc(SCC(=O)c3cccc(c3)[N+]([O-])=O)[nH]2)c1-c1ccccc1,192.0,Ki (nM)
50279607,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc1ccccc1[N+]([O-])=O,192.0,Ki (nM)
51532761,NS(=O)(=O)c1ccc(nc1)N1CC[C@H](C1)NC(=O)Nc1ccc2OCCOc2c1,192.0,Ki (nM)
50467993,NS(=O)(=O)c1ccc(NC(=O)Nc2ccc(cc2)\N=C2/C(=O)Nc3ccc(Br)cc23)cc1,192.0,Ki (nM)
51228918,O=Cc1cccc(OCc2cn(CCCOc3ccc4ccc(=O)oc4c3)nn2)c1,192.0,Ki (nM)
50383269,NS(=O)(=O)c1ccc(cc1)\N=c1/scc(-c2cccc(c2)[N+]([O-])=O)n1C1CCCCC1,193.0,Ki (nM)
18953,CC(=O)NC1CCc2cc(ccc12)S(N)(=O)=O,193.0,Ki (nM)
51532795,NS(=O)(=O)c1cccc(NC(=O)N[C@H]2CCN(C2)c2cccc(n2)[N+]([O-])=O)c1,193.0,Ki (nM)
51421338,C[C@@H](CSCC(O)CSc1ccc(cc1)S(N)(=O)=O)NS(=O)(=O)c1ccc(C)cc1,193.0,Ki (nM)
50241170,NS(=O)(=O)c1ccc(CC\N=C\c2ccc(o2)S([O-])(=O)=O)cc1,193.0,Ki (nM)
