smiles,standard_type,value,units,chembl_id,document_chembl_id,data_validity_comment,activity_comment,warning_flag,CuratedSmiles,IsSalt,FailedSanit,Neutralized
CCOc1nc(NC(C)=O)cc(N)c1C#N,Ki,190.0,nM,CHEMBL208637,CHEMBL1148638,,,False,CCOc1nc(NC(C)=O)cc(N)c1C#N,False,False,False
CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,Ki,2.0,nM,CHEMBL210618,CHEMBL1148638,,,False,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,False,False,False
CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,Ki,3.0,nM,CHEMBL210963,CHEMBL1148638,,,False,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,False,False,False
CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1,Ki,550.0,nM,CHEMBL210032,CHEMBL1148638,,,False,CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1,False,False,False
COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1,Ki,1.0,nM,CHEMBL378627,CHEMBL1148638,,,False,COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1,False,False,False
CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl,Ki,3.0,nM,CHEMBL210928,CHEMBL1148638,,,False,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl,False,False,False
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,Ki,3.8,nM,CHEMBL377383,CHEMBL1138045,,,False,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,False,False,False
CCOc1nc(C(=O)NC)cc(N)c1C#N,Ki,400.0,nM,CHEMBL211605,CHEMBL1138045,,,False,CCOc1nc(C(=O)NC)cc(N)c1C#N,False,False,False
CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,Ki,2.0,nM,CHEMBL210618,CHEMBL1145498,,,False,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,False,False,False
Cc1ccnc(S)n1,Ki,2060.0,nM,CHEMBL455772,CHEMBL1154397,,,False,Cc1ccnc(S)n1,False,False,False
CC(C)Nc1nccc(-c2c[nH]nc2-c2ccc(Cl)cc2)n1,Ki,48.0,nM,CHEMBL451282,CHEMBL1154397,,,False,CC(C)Nc1nccc(-c2c[nH]nc2-c2ccc(Cl)cc2)n1,False,False,False
Clc1ccc(-c2n[nH]cc2-c2ccnc(NC3CC3)n2)cc1,Ki,151.0,nM,CHEMBL521016,CHEMBL1154397,,,False,Clc1ccc(-c2n[nH]cc2-c2ccnc(NC3CC3)n2)cc1,False,False,False
Clc1ccc(-c2n[nH]cc2-c2ccnc(NC3CCCCC3)n2)cc1,Ki,27.0,nM,CHEMBL485348,CHEMBL1154397,,,False,Clc1ccc(-c2n[nH]cc2-c2ccnc(NC3CCCCC3)n2)cc1,False,False,False
C[C@H](CC(=O)O)Nc1nccc(-c2c[nH]nc2-c2ccc(Cl)cc2)n1,Ki,315.0,nM,CHEMBL484341,CHEMBL1154397,,,False,C[C@H](CC(=O)O)Nc1nccc(-c2c[nH]nc2-c2ccc(Cl)cc2)n1,False,False,False
Clc1ccc(-c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)cc1,Ki,26.0,nM,CHEMBL503206,CHEMBL1154397,,,False,Clc1ccc(-c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)cc1,False,False,False
CN1CCC(Nc2nccc(-c3c[nH]nc3-c3ccc(Cl)cc3)n2)CC1,Ki,1570.0,nM,CHEMBL450660,CHEMBL1154397,,,False,CN1CCC(Nc2nccc(-c3c[nH]nc3-c3ccc(Cl)cc3)n2)CC1,False,False,False
CC(C)Nc1nccc(-c2cn[nH]c2)n1,Ki,2730.0,nM,CHEMBL485193,CHEMBL1154397,,,False,CC(C)Nc1nccc(-c2cn[nH]c2)n1,False,False,False
CC(C)Nc1nccc(-c2c[nH]nc2C2CCCCO2)n1,Ki,381.0,nM,CHEMBL485364,CHEMBL1154397,,,False,CC(C)Nc1nccc(-c2c[nH]nc2C2CCCCO2)n1,False,False,False
CC(C)Nc1nccc(-c2c[nH]nc2C2CCCOC2)n1,Ki,43.0,nM,CHEMBL485365,CHEMBL1154397,,,False,CC(C)Nc1nccc(-c2c[nH]nc2C2CCCOC2)n1,False,False,False
CC(C)Nc1nccc(-c2c[nH]nc2C2CCOCC2)n1,Ki,169.0,nM,CHEMBL520332,CHEMBL1154397,,,False,CC(C)Nc1nccc(-c2c[nH]nc2C2CCOCC2)n1,False,False,False
CC(C)Nc1nccc(-c2c[nH]nc2C2CCCNC2)n1,Ki,530.0,nM,CHEMBL484326,CHEMBL1154397,,,False,CC(C)Nc1nccc(-c2c[nH]nc2C2CCCNC2)n1,False,False,False
CC(C)Nc1nccc(-c2c[nH]nc2C2CCN(S(C)(=O)=O)CC2)n1,Ki,101.0,nM,CHEMBL520488,CHEMBL1154397,,,False,CC(C)Nc1nccc(-c2c[nH]nc2C2CCN(S(C)(=O)=O)CC2)n1,False,False,False
Cc1ccc(-c2n[nH]cc2-c2ccnc(NC3CCN(C)CC3)n2)cn1,Ki,162.0,nM,CHEMBL518996,CHEMBL1154397,,,False,Cc1ccc(-c2n[nH]cc2-c2ccnc(NC3CCN(C)CC3)n2)cn1,False,False,False
c1cc(-c2c[nH]nc2C2CCCOC2)nc(NC2CCCC2)n1,Ki,12.0,nM,CHEMBL483741,CHEMBL1154397,,,False,c1cc(-c2c[nH]nc2C2CCCOC2)nc(NC2CCCC2)n1,False,False,False
O[C@H]1CC[C@H](c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)CC1,Ki,12.0,nM,CHEMBL507249,CHEMBL1154397,,,False,O[C@H]1CC[C@H](c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)CC1,False,False,False
OC1CCCC(c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)C1,Ki,36.0,nM,CHEMBL482545,CHEMBL1154397,,,False,OC1CCCC(c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)C1,False,False,False
CS(=O)(=O)N[C@H]1CC[C@H](c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)CC1,Ki,9.0,nM,CHEMBL482559,CHEMBL1154397,,,False,CS(=O)(=O)N[C@H]1CC[C@H](c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)CC1,False,False,False
