BindingDB_ID,smiles,value,standard_type,CuratedSmiles,IsSalt,FailedSanit,Neutralized
51197517,COc1ccc(CC(=O)Nc2nnc(s2)S(N)(=O)=O)cc1,0.31,Ki (nM),COc1ccc(CC(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,False,False,False
51309663,NS(=O)(=O)c1ccc(cc1)-c1noc(n1)-c1ccccn1,0.31,Ki (nM),NS(=O)(=O)c1ccc(-c2noc(-c3ccccn3)n2)cc1,False,False,False
51197592,COc1ccc(CC(=O)Nc2ccc(cc2)S(N)(=O)=O)cc1,0.32,Ki (nM),COc1ccc(CC(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,False,False,False
51283081,NS(=O)(=O)c1ccc(cc1)-n1ncc2ccccc2c1=O,0.32,Ki (nM),NS(=O)(=O)c1ccc(-n2ncc3ccccc3c2=O)cc1,False,False,False
51051612,CC(=O)C1=NN(\C(S1)=C(/C#N)C(=O)Nc1ccc(cc1)S(N)(=O)=O)c1ccccc1,0.33,Ki (nM),CC(=O)C1=NN(c2ccccc2)/C(=C(\C#N)C(=O)Nc2ccc(S(N)(=O)=O)cc2)S1,False,False,False
50822718,CCOc1nc(NCc2ccc(cc2)S(N)(=O)=O)nc(OCC)n1,0.34,Ki (nM),CCOc1nc(NCc2ccc(S(N)(=O)=O)cc2)nc(OCC)n1,False,False,False
50445658,CCOc1nc(NCc2ccc(cc2)S(N)(=O)=O)nc(OCC)n1,0.34,Ki (nM),CCOc1nc(NCc2ccc(S(N)(=O)=O)cc2)nc(OCC)n1,False,False,False
51309690,NS(=O)(=O)c1ccc(cc1)-c1noc(n1)-c1cccs1,0.36,Ki (nM),NS(=O)(=O)c1ccc(-c2noc(-c3cccs3)n2)cc1,False,False,False
50467452,NS(=O)(=O)c1ccc(cc1)-c1cc2ccccc2o1,0.37,Ki (nM),NS(=O)(=O)c1ccc(-c2cc3ccccc3o2)cc1,False,False,False
51309694,NS(=O)(=O)c1cc(cs1)-c1nc(no1)-c1ccccn1,0.39,Ki (nM),NS(=O)(=O)c1cc(-c2nc(-c3ccccn3)no2)cs1,False,False,False
51608465,NS(=O)(=O)c1ccc(CNc2nc(Cl)nc(Nc3ccc(O)cc3)n2)cc1,0.4,Ki (nM),NS(=O)(=O)c1ccc(CNc2nc(Cl)nc(Nc3ccc(O)cc3)n2)cc1,False,False,False
50964306,NS(=O)(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)C(=O)NCCc1ccc(cc1)S(N)(=O)=O,0.4,Ki (nM),NS(=O)(=O)Nc1ccc(S(=O)(=O)Nc2ccc(C(=O)NCCc3ccc(S(N)(=O)=O)cc3)cc2)cc1,False,False,False
51197525,COc1ccc(CC(=O)Nc2ccc(cc2Cl)S(N)(=O)=O)cc1,0.41,Ki (nM),COc1ccc(CC(=O)Nc2ccc(S(N)(=O)=O)cc2Cl)cc1,False,False,False
51309711,NS(=O)(=O)c1ccc(cc1)-c1noc(n1)-c1ccncc1,0.44,Ki (nM),NS(=O)(=O)c1ccc(-c2noc(-c3ccncc3)n2)cc1,False,False,False
51197529,NS(=O)(=O)c1ccc(NC(=O)Cc2ccccc2Br)cc1,0.44,Ki (nM),NS(=O)(=O)c1ccc(NC(=O)Cc2ccccc2Br)cc1,False,False,False
51197521,COc1ccc(CC(=O)NCc2ccc(cc2)S(N)(=O)=O)cc1,0.45,Ki (nM),COc1ccc(CC(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1,False,False,False
51283134,NS(=O)(=O)c1ccc(cc1)-n1nc(ccc1=O)-c1ccccc1O,0.46,Ki (nM),NS(=O)(=O)c1ccc(-n2nc(-c3ccccc3O)ccc2=O)cc1,False,False,False
51396503,NS(=O)(=O)c1ccc(cc1)-n1cc(Cn2cc(F)c(=O)[nH]c2=O)nn1,0.47,Ki (nM),NS(=O)(=O)c1ccc(-n2cc(Cn3cc(F)c(=O)[nH]c3=O)nn2)cc1,False,False,False
51283057,NS(=O)(=O)c1ccc(cc1)-n1ncc(N2CCCCCC2)c(Cl)c1=O,0.49,Ki (nM),NS(=O)(=O)c1ccc(-n2ncc(N3CCCCCC3)c(Cl)c2=O)cc1,False,False,False
50629542,CC(C)c1ccccc1NC(=O)Nc1ccc(cc1)S(N)(=O)=O,0.5,Ki (nM),CC(C)c1ccccc1NC(=O)Nc1ccc(S(N)(=O)=O)cc1,False,False,False
51590989,Cc1ccc(S(=O)(=O)N(CCc2ccc(S(N)(=O)=O)cc2)Cc2cccc(OCC(=O)O)c2)cc1,4.2,Ki (nM),Cc1ccc(S(=O)(=O)N(CCc2ccc(S(N)(=O)=O)cc2)Cc2cccc(OCC(=O)O)c2)cc1,False,False,False
50332898,COc1ccc(CNCCc2ccc(cc2)S(N)(=O)=O)cc1,4.3,Ki (nM),COc1ccc(CNCCc2ccc(S(N)(=O)=O)cc2)cc1,False,False,False
51286538,CC(C)(C)N1C(=O)C=C(c2cn(c3ccccc23)S(=O)(=O)c2ccccc2)S1(=O)=O,4.3,Ki (nM),CC(C)(C)N1C(=O)C=C(c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)S1(=O)=O,False,False,False
50332904,NS(=O)(=O)c1ccc(CCNCc2cc(Br)ccc2O)cc1,4.3,Ki (nM),NS(=O)(=O)c1ccc(CCNCc2cc(Br)ccc2O)cc1,False,False,False
51051618,NS(=O)(=O)c1ccc(NC(=O)C(=C\c2ccco2)\C#N)cc1,4.3,Ki (nM),N#C/C(=C\c1ccco1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,False,False,False
50932864,OCCN(CCO)C([S-])=S,4.3,Ki (nM),OCCN(CCO)C(=S)S,False,False,True
51544793,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCC(CC1)C(=O)NCc1ccccc1Cl,4.3,Ki (nM),NS(=O)(=O)c1ccc(C(=O)N2CCC(C(=O)NCc3ccccc3Cl)CC2)cc1,False,False,False
51404861,Cc1ccc(cc1)S(=O)(=O)CCC(=O)Nc1ccc(cc1)S(N)(=O)=O,4.3,Ki (nM),Cc1ccc(S(=O)(=O)CCC(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,False,False,False
50742898,NS(=O)(=O)c1nnc(NS(=O)(=O)c2c(F)c(F)cc(F)c2F)s1,4.3,Ki (nM),NS(=O)(=O)c1nnc(NS(=O)(=O)c2c(F)c(F)cc(F)c2F)s1,False,False,False
50332757,NS(=O)(=O)c1ccc(CCNCc2ccccc2)cc1,4.3,Ki (nM),NS(=O)(=O)c1ccc(CCNCc2ccccc2)cc1,False,False,False
50076132,[S-]C(=S)OCCc1ccccn1,4.3,Ki (nM),S=C(S)OCCc1ccccn1,False,False,True
51208369,NC(=O)c1cn(nc1-c1ccccc1)-c1ccc(cc1)S(N)(=O)=O,4.3,Ki (nM),NC(=O)c1cn(-c2ccc(S(N)(=O)=O)cc2)nc1-c1ccccc1,False,False,False
50365630,CSc1nn(CC(=O)Nc2nc3ccc(cc3s2)S(N)(=O)=O)c2nc[nH]c(=O)c12,4.3,Ki (nM),CSc1nn(CC(=O)Nc2nc3ccc(S(N)(=O)=O)cc3s2)c2nc[nH]c(=O)c12,False,False,False
51255536,NS(=O)(=O)c1ccc(NC(=O)CN2C(=O)NC3(CCCCCC3)C2=O)cc1,4.3,Ki (nM),NS(=O)(=O)c1ccc(NC(=O)CN2C(=O)NC3(CCCCCC3)C2=O)cc1,False,False,False
50932855,[S-]C(=S)NCCCn1ccnc1,4.3,Ki (nM),S=C(S)NCCCn1ccnc1,False,False,True
51591009,NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2ccc(Cl)cc2)cc1,4.4,Ki (nM),NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2ccc(Cl)cc2)cc1,False,False,False
