smiles,exp_mean,exp_std,exp_sem,no.entries,no.outliers,standard_types,bindingdb_id
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC5CN(C6CC6)CCO5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.01,0.0,0.0,4,0,Ki,"1180160,1373083,339892,704944"
CN1CCC(O)(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cccc4[nH]ccc34)cc2[N+](=O)[O-])CC1,0.01,0.0,0.0,1,0,Ki,324898
O=C(NS(=O)(=O)c1ccc(NC2CCN(C3CCOCC3)CC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CCC(O)C3)CC2)cc1Oc1ccc2[nH]ccc2c1,0.01,0.0,0.0,1,0,Ki,324934
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC(F)(F)F)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.011,0.0,0.0,4,0,Ki,"1179884,1372757,339577,704618"
CO[C@H]1CC[C@H](COc2ncc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cnc4[nH]ccc4c3)cc2Cl)CC1,0.011000000000000001,1.734723475976807e-18,1.001543065824773e-18,3,0,Ki,"1179875,1372941,704802"
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CCC(N4CCCC4)C3)CC2)cc1Oc1ccc2[nH]ccc2c1,0.011,0.0,0.0,1,0,Ki,324979
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC5CCN(C6CC6)CC5)c([N+](=O)[O-])c4)c(Oc4cccc5[nH]ncc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.011,0.0,0.0,1,0,Ki,325139
COC1CCC(CNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cnc(N)c(Br)c3)cc2[N+](=O)[O-])CC1,0.012,0.0,0.0,1,0,Ki,387942
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC#CCN5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.012,0.0,0.0,4,0,Ki,"1179968,1372799,339619,704660"
CN1CCC(Nc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cc4cc[nH]c4cc3F)cc2[N+](=O)[O-])CC1,0.012,0.0,0.0,2,0,Ki,"281484,387731"
CN(C)CCOc1ccc(-c2ccc(Cl)cc2)c(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4ccc5[nH]ccc5c4)c3)CC2)c1,0.012,0.0,0.0,1,0,Ki,324842
CN(C)CC(=O)N1CCO[C@@H](COc2ncc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cccc4[nH]ncc34)cc2Cl)C1,0.007,0.0,0.0,1,0,Ki,325129
CN(C)CCOc1ccc(-c2ccc(Cl)cc2)c(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCCCN5CCCC5)c([N+](=O)[O-])c4)c(Oc4ccc5[nH]ccc5c4)c3)CC2)c1,0.008,0.0,0.0,1,0,Ki,324851
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(Cc3cc(OCCN4CCCC4)ccc3-c3ccc(Cl)cc3)CC2)cc1Oc1ccccc1,0.009,0.0,0.0,1,0,Ki,324854
CN(C)CCOc1ccc(-c2ccc(Cl)cc2)c(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC5CCN(C)CC5)c([N+](=O)[O-])c4)c(Oc4ccccc4)c3)CC2)c1,0.009,0.0,0.0,1,0,Ki,324849
CN1CCN(Nc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cnc(N)c(Cl)c3)cc2[N+](=O)[O-])CC1,0.009,0.0,0.0,2,0,Ki,"281666,387918"
CN1CCC(O)(CCNc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3ccc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,0.009,0.0,0.0,1,0,Ki,324920
CC1(C)CC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c(S(=O)(=O)C(F)(F)F)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)CO1,0.012,0.0,0.0,4,0,Ki,"1179918,1372774,339594,704635"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H]5CC[C@@H](N6CCOCC6)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.012000000000000002,1.734723475976807e-18,1.001543065824773e-18,3,0,Ki,"1179910,1372770,704631"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OCC5(F)CCOCC5)c(Cl)c4)c(Oc4cccc5[nH]ncc45)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.012,0.0,0.0,1,0,Ki,325107
CN1CCC(Nc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3ccc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,0.013000000000000001,1.734723475976807e-18,7.757919228897728e-19,5,0,Ki,"1180012,1372821,324819,339639,704682"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CN(C6CC6)CCO5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.013,0.0,0.0,4,0,Ki,"1179891,1372949,339762,704810"
CC1CCC(O)(COc2ncc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)CC5)CC4)cc3Oc3cnc4[nH]ccc4c3)cc2Cl)CC1,0.013,0.0,0.0,1,0,Ki,1180146
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OC[C@H]5CC[C@@](C)(O)CC5)c(Cl)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.013,0.0,0.0,2,0,Ki,"1373076,704937"
CN1CCC(Nc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)OC5)CC4)cc3Oc3ccccc3Cl)cc2[N+](=O)[O-])CC1,0.013,0.0,0.0,2,0,Ki,"281371,387617"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC5CCN(C6CCOCC6)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.013,0.0,0.0,4,0,Ki,"1179838,1372734,339554,704595"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC[C@H]5CC[C@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.013,0.0,0.0,2,0,Ki,"1373067,704928"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCC(C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.013,0.0,0.0,1,0,Ki,1180128
O=C(NS(=O)(=O)c1ccc(NCC2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(CC3=C(c4ccc(Cl)cc4)CCC(O)C3)CC2)cc1Oc1ccc2[nH]ccc2c1,0.013,0.0,0.0,1,0,Ki,324956
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OCC5C[C@H]6C=C[C@@H]5C6)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.014,0.0,0.0,3,0,Ki,"1179857,1372932,704793"
CN1CCC(Nc2ccc(S(=O)(=O)NC(=O)c3ccc(N4CCN(CC5=C(c6ccc(Cl)cc6)CC(C)(C)OC5)CC4)cc3Oc3ccc4[nH]ccc4c3)cc2[N+](=O)[O-])CC1,0.014,0.0,0.0,1,0,Ki,324866
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OC[C@]5(F)CC[C@@](C)(O)CC5)c(Cl)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.014,0.0,0.0,2,0,Ki,"1373084,704945"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(OC[C@H]5CC[C@@](C)(O)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.014,0.0,0.0,2,0,Ki,"1373081,704942"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NC5CCN(C(CF)CF)CC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.014,0.0,0.0,4,0,Ki,"1180022,1372826,339644,704687"
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4cnc(OCC5(F)CCOCC5)c(Cl)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,0.014,0.0,0.0,4,0,Ki,"1180024,1372827,339645,704688"
