smiles,standard_type,value,units,chembl_id,document_chembl_id,data_validity_comment,activity_comment,warning_flag
Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,Ki,26.0,nM,CHEMBL377300,CHEMBL1146078,,,False
CC(C)(C)c1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,Ki,130.0,nM,CHEMBL205325,CHEMBL1146931,,,False
FC(F)(Cl)Oc1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,Ki,100.0,nM,CHEMBL205502,CHEMBL1146931,,,False
FC(F)(F)c1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1,Ki,120.0,nM,CHEMBL381182,CHEMBL1146931,,,False
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,Ki,1800.0,nM,CHEMBL215152,CHEMBL1147984,,,False
O=C(N[C@H](CO)c1ccc(F)c(Cl)c1)c1cc(-c2n[nH]cc2-c2cccc(Cl)c2)c[nH]1,Ki,3900.0,nM,CHEMBL387385,CHEMBL1142871,,,False
Cc1cc(-c2c(Cl)cccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,Ki,784.0,nM,CHEMBL230686,CHEMBL1143794,,,False
CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(Cl)c(C(F)(F)F)c4)[nH]c3c2)ccn1,Ki,9.0,nM,CHEMBL394826,CHEMBL1148766,,,False
CN1CCN(Cc2cc(Nc3nc4cc(Oc5ccnc6ccccc56)cc(Cl)c4o3)ccc2Cl)CC1,Ki,2.0,nM,CHEMBL387591,CHEMBL1148766,,,False
CNC(=O)c1cc(Oc2cc(Cl)c3oc(Nc4ccc(Cl)c(CN5CCN(C)CC5)c4)nc3c2)ccn1,Ki,10.0,nM,CHEMBL425831,CHEMBL1148766,,,False
CNC(=O)c1cc(Oc2cc(F)c3oc(Nc4ccc(Cl)c(OC[C@@H]5CCCN5C)c4)nc3c2)ccn1,Ki,3.0,nM,CHEMBL230223,CHEMBL1148766,,,False
CN1CCN(Cc2cc(Nc3nc4cc(Oc5ccnc6[nH]ccc56)ccc4o3)ccc2Cl)CC1,Ki,2.0,nM,CHEMBL387590,CHEMBL1148766,,,False
