BindingDB_ID,smiles,value,standard_type,CuratedSmiles,IsSalt,FailedSanit
50871615,OCCN(CCCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,0.119,Ki (nM),OCCN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,False,False
248237,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,0.12,Ki (nM),CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,False,False
50871665,CCC1=CC2C[C@H](C1)c1c(C2)nc2cc(Cl)ccc2c1N,0.13,Ki (nM),CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2,False,False
51386491,COc1cc2OC(C)(CCNCCCCCCCCNc3c4CCCCc4nc4cc(Cl)ccc34)CCc2cc1O,0.132,Ki (nM),COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,False,False
50871614,C(CNc1c2CCCCc2nc2ccccc12)CN1CCN(CCCNc2c3CCCCc3nc3ccccc23)CC1,0.136,Ki (nM),c1ccc2c(NCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)c3c(nc2c1)CCCC3,False,False
50871616,CCN(CCCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,0.162,Ki (nM),CCN(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,False,False
50531620,CC(C)=CCc1cc(O)cc(Sc2ccccc2C(O)=O)c1O,0.221,Ki (nM),CC(C)=CCc1cc(O)cc(Sc2ccccc2C(=O)O)c1O,False,False
50871618,CC(=O)N(CCCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,0.223,Ki (nM),CC(=O)N(CCCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,False,False
50077149,Nc1cccc2c(NCCCCCCCCNc3c4CCCCc4nc4ccccc34)c3CCCCc3nc12,0.23,Ki (nM),Nc1cccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc12)CCCC3,False,False
17498,Clc1ccc2c(NCCCNC(=O)CCCCC3CCSS3)c3CCCCc3nc2c1,155.0,Ki (nM),O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,False,False
51386492,COc1cc2OC(C)(CCNCCCCCCCCNc3c4CCCCc4nc4cc(Cl)ccc34)CCc2cc1O,0.258,Ki (nM),COc1cc2c(cc1O)CCC(C)(CCNCCCCCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,False,False
51506262,COc1cc2CC(Cc2c(OC)c1)NC(=O)OCc1ccccc1,0.261,Ki (nM),COc1cc2c(c(OC)c1)CC(NC(=O)OCc1ccccc1)C2,False,False
51506342,COc1cccc2CC(CCc12)NC(=O)OCc1ccccc1,0.264,Ki (nM),COc1cccc2c1CCC(NC(=O)OCc1ccccc1)C2,False,False
