BindingDB_ID,smiles,value,standard_type,CuratedSmiles,IsSalt,FailedSanit
50100757,CCCCCSC(=O)OCC[N+](C)(C)C,1000.0,Ki (nM),CCCCCSC(=O)OCC[N+](C)(C)C,False,False
50214222,CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,,Ki (nM),CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,False,False
51573568,CN(C)CCCN1C(SCC1=O)c1ccc(Cl)cc1Cl,1000.0,Ki (nM),CN(C)CCCN1C(=O)CSC1c1ccc(Cl)cc1Cl,False,False
50048013,CCN(CC)CCNC(=O)c1ccc(N)cc1,1000.0,Ki (nM),CCN(CC)CCNC(=O)c1ccc(N)cc1,False,False
50724574,CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,1000.0,Ki (nM),CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,False,False
50214274,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc23)CC1,,Ki (nM),O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,False,False
50048005,CCN(CC)CCNC(=O)c1ccc(N)cc1,1000.0,Ki (nM),CCN(CC)CCNC(=O)c1ccc(N)cc1,False,False
51188841,COc1cc2CC(Oc3cccc(CN(C)C)c3)C(=O)c2cc1OC,1004.0,Ki (nM),COc1cc2c(cc1OC)C(=O)C(Oc1cccc(CN(C)C)c1)C2,False,False
201195,CC[N+](C)(C)c1cccc(c1)O,1010.0,Ki (nM),CC[N+](C)(C)c1cccc(O)c1,False,False
51188750,CCN(CC)Cc1ccc(CC2Cc3cc(OC)c(OC)cc3C2=O)cc1,1040.0,Ki (nM),CCN(CC)Cc1ccc(CC2Cc3cc(OC)c(OC)cc3C2=O)cc1,False,False
50807405,COc1cc(\C=C\C(=O)OCC2CCN(Cc3ccccc3)CC2)ccc1O,1040.0,Ki (nM),COc1cc(/C=C/C(=O)OCC2CCN(Cc3ccccc3)CC2)ccc1O,False,False
51046436,COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24,1060.0,Ki (nM),COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,False,False
50326707,CC[C@H](C[C@@H](O)[C@@H](C)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@]12C)C(C)C,1100.0,Ki (nM),CC[C@H](C[C@@H](O)[C@@H](C)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@@]21C)C(C)C,False,False
51506334,COC(=O)CCC\C=C/C\C=C/C\C=C/CCOC(=O)Nc1ccc(Br)cc1,1100.0,Ki (nM),COC(=O)CCC/C=C\C/C=C\C/C=C\CCOC(=O)Nc1ccc(Br)cc1,False,False
335096,CN(CCc1ccccc1)C1CCc2ncc(NC(=O)C(=N\O)\C(C)=O)cc2C1,1108.0,Ki (nM),CC(=O)/C(=N\O)C(=O)Nc1cnc2c(c1)CC(N(C)CCc1ccccc1)CC2,False,False
50965469,COc1ccc2c(c[n+](C)c3c4cc5OCOc5cc4ccc23)c1OC,1120.0,Ki (nM),COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,False,False
50957444,CCN(C)C(=O)Oc1ccc2N(C)C3N(CCc4ccccc34)Cc2c1,1120.0,Ki (nM),CCN(C)C(=O)Oc1ccc2c(c1)CN1CCc3ccccc3C1N2C,False,False
50350065,CCCC[C@@H](O)\C=C\C=C\C(O)=O,1170.0,Ki (nM),CCCC[C@@H](O)/C=C/C=C/C(=O)O,False,False
50103321,Oc1ccc(CN(CC#C)C(CCC2CCN(Cc3ccccc3)CC2)C#N)c2cccnc12,1210.0,Ki (nM),C#CCN(Cc1ccc(O)c2ncccc12)C(C#N)CCC1CCN(Cc2ccccc2)CC1,False,False
50621525,C(c1ccc2ccc(C[n+]3ccc4ccccc4c3)cc2c1)[n+]1ccc2ccccc2c1,1250.0,Ki (nM),c1ccc2c[n+](Cc3ccc4ccc(C[n+]5ccc6ccccc6c5)cc4c3)ccc2c1,False,False
50099517,C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc12)C1c2ccccc2-c2ccccc12,1300.0,Ki (nM),C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,False,False
50871685,O=NCc1cccc[n+]1CCCCCCC[n+]1ccccc1CN=O,1300.0,Ki (nM),O=NCc1cccc[n+]1CCCCCCC[n+]1ccccc1CN=O,False,False
50099539,C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc12)C1c2ccccc2-c2ccccc12,1300.0,Ki (nM),C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,False,False
50107645,O=C(COc1ccc2ccc(=O)oc2c1)NC1CCN(Cc2ccccc2)CC1,1320.0,Ki (nM),O=C(COc1ccc2ccc(=O)oc2c1)NC1CCN(Cc2ccccc2)CC1,False,False
408493,C1CN2C=Nc3sc4CCCCc4c3C2=N1,1320.0,Ki (nM),C1=Nc2sc3c(c2C2=NCCN12)CCCC3,False,False
51188763,CCN(CC)C(C)c1ccc(OC2Cc3cc(OC)c(OC)cc3C2=O)cc1,1330.0,Ki (nM),CCN(CC)C(C)c1ccc(OC2Cc3cc(OC)c(OC)cc3C2=O)cc1,False,False
51188764,CCN(CC)Cc1ccc(OC2Cc3cc(OC)c(OC)cc3C2=O)cc1,1340.0,Ki (nM),CCN(CC)Cc1ccc(OC2Cc3cc(OC)c(OC)cc3C2=O)cc1,False,False
51397596,COc1ccccc1CNCCCCCCn1ccc(=O)c(O)c1C,1344.0,Ki (nM),COc1ccccc1CNCCCCCCn1ccc(=O)c(O)c1C,False,False
408491,O=C1N2CCN=C2Nc2sc3CN(Cc4ccccc4)CCc3c12,1550.0,Ki (nM),O=C1c2c(sc3c2CCN(Cc2ccccc2)C3)NC2=NCCN12,False,False
293123,CC(=O)Nc1ccc(OCCCN2CCN(CC2)c2ccccc2F)cc1,2540.0,Ki (nM),CC(=O)Nc1ccc(OCCCN2CCN(c3ccccc3F)CC2)cc1,False,False
51397595,Cc1c(O)c(=O)ccn1CCCCCCNCc1ccccc1,1366.0,Ki (nM),Cc1c(O)c(=O)ccn1CCCCCCNCc1ccccc1,False,False
51314668,Cc1c(C)c(=O)oc2cc(OCC3CCCN(Cc4ccccc4)C3)ccc12,1370.0,Ki (nM),Cc1c(C)c2ccc(OCC3CCCN(Cc4ccccc4)C3)cc2oc1=O,False,False
51314647,Cc1c(C)c(=O)oc2cc(OCC3CCCN(Cc4ccccc4)C3)ccc12,1370.0,Ki (nM),Cc1c(C)c2ccc(OCC3CCCN(Cc4ccccc4)C3)cc2oc1=O,False,False
293122,CC(=O)Nc1ccc(OCCCN2CCN(CC2)c2ccccc2)cc1,2280.0,Ki (nM),CC(=O)Nc1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,False,False
51392817,CN(CCCCCCOc1cc(O)c2c(c1)oc1ccccc1c2=O)Cc1ccc(O)cc1,1400.0,Ki (nM),CN(CCCCCCOc1cc(O)c2c(=O)c3ccccc3oc2c1)Cc1ccc(O)cc1,False,False
51144772,CC(C)(C)c1cc(\C=C\C(=O)NCCC2CCN(Cc3ccccc3F)CC2)cc(c1O)C(C)(C)C,1400.0,Ki (nM),CC(C)(C)c1cc(/C=C/C(=O)NCCC2CCN(Cc3ccccc3F)CC2)cc(C(C)(C)C)c1O,False,False
50294850,CCCCNC(=O)OCCCCCO,1400.0,Ki (nM),CCCCNC(=O)OCCCCCO,False,False
50553324,CC(C)(C)c1ccc(NC(=N)NC(=N)N2CCN(CC2)C(=N)NC(=N)Nc2ccc(cc2)C(C)(C)C)cc1,1410.0,Ki (nM),CC(C)(C)c1ccc(NC(=N)NC(=N)N2CCN(C(=N)NC(=N)Nc3ccc(C(C)(C)C)cc3)CC2)cc1,False,False
50961495,O=C(NCCc1c[nH]c2ccccc12)c1ccc(OCCCCn2c3ccccc3c3ccccc23)cc1,1437.0,Ki (nM),O=C(NCCc1c[nH]c2ccccc12)c1ccc(OCCCCn2c3ccccc3c3ccccc32)cc1,False,False
50089049,O\N=C\C(=O)NCCCCNc1c2CCCCc2nc2ccccc12,1492.0,Ki (nM),O=C(/C=N/O)NCCCCNc1c2c(nc3ccccc13)CCCC2,False,False
50294846,CCCCNC(=O)OCCO,1500.0,Ki (nM),CCCCNC(=O)OCCO,False,False
50811188,CC(=O)N(CCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,1500.0,Ki (nM),CC(=O)N(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,False,False
408496,C(N1CCc2c(C1)sc1N=CN3CCCN=C3c21)c1ccccc1,1500.0,Ki (nM),C1=Nc2sc3c(c2C2=NCCCN12)CCN(Cc1ccccc1)C3,False,False
50724579,CCCCCCCCCC1CCC(CCCCC=C)N1,1500.0,Ki (nM),C=CCCCCC1CCC(CCCCCCCCC)N1,False,False
15308,CC(=O)N(CCCNc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,1500.0,Ki (nM),CC(=O)N(CCCNc1c2c(nc3ccccc13)CCCC2)CCCNc1c2c(nc3ccccc13)CCCC2,False,False
50034677,O=C1CCCN1CC#CCN1CCCC1,1500.0,Ki (nM),O=C1CCCN1CC#CCN1CCCC1,False,False
408492,O=C1N2CCCN=C2Nc2sc3CN(Cc4ccccc4)CCc3c12,2070.0,Ki (nM),O=C1c2c(sc3c2CCN(Cc2ccccc2)C3)NC2=NCCCN12,False,False
51136944,CCCCCCCCCCCCCCCCC\C=C\C(O)=O,1510.0,Ki (nM),CCCCCCCCCCCCCCCCC/C=C/C(=O)O,False,False
50332130,COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24,1560.0,Ki (nM),COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,False,False
50553252,Ic1ccccc1NC(=N)NC(=N)N1CCN(CC1)C(=N)NC(=N)Nc1ccccc1I,1560.0,Ki (nM),N=C(NC(=N)N1CCN(C(=N)NC(=N)Nc2ccccc2I)CC1)Nc1ccccc1I,False,False
51606624,c1ccc2c(CN3CCC[C@@H]3COc3ccc4c(c3)OCO4)cccc2c1,1590.0,Ki (nM),c1ccc2c(CN3CCC[C@@H]3COc3ccc4c(c3)OCO4)cccc2c1,False,False
51188710,CCN(CC)Cc1cccc(OC2Cc3cc(OC)c(OC)cc3C2=O)c1,1590.0,Ki (nM),CCN(CC)Cc1cccc(OC2Cc3cc(OC)c(OC)cc3C2=O)c1,False,False
51445503,CON(C)C(=O)Oc1ccccc1C(=O)NCCc1c[nH]c2ccccc12,1596.0,Ki (nM),CON(C)C(=O)Oc1ccccc1C(=O)NCCc1c[nH]c2ccccc12,False,False
51261663,C(Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1)Nc1c2CCCCc2nc2ccccc12,1600.0,Ki (nM),c1ccc(COc2ccc(CCNc3c4c(nc5ccccc35)CCCC4)cc2OCc2ccccc2)cc1,False,False
50991352,BrC1=C[C@@]2(CCC1=O)C=CNC1=C2C2=NCCc3c[nH]c(c23)C1=O,1600.0,Ki (nM),O=C1CC[C@@]2(C=CNC3=C2C2=NCCc4c[nH]c(c42)C3=O)C=C1Br,False,False
51261755,C(Cc1ccc(OCc2ccccc2)cc1)Nc1c2CCCCc2nc2ccccc12,1600.0,Ki (nM),c1ccc(COc2ccc(CCNc3c4c(nc5ccccc35)CCCC4)cc2)cc1,False,False
201196,CC(C)N(CCNC(=O)N1c2ccccc2Sc2ccccc12)C(C)C,1640.0,Ki (nM),CC(C)N(CCNC(=O)N1c2ccccc2Sc2ccccc21)C(C)C,False,False
51555682,[H][C@]12Cc3ccccc3-c3c(OC)c(OC)cc(CCN1C(=O)c1cc[n+](Cc4ccccc4Cl)cc1)c23,1650.0,Ki (nM),COc1cc2c3c(c1OC)-c1ccccc1C[C@H]3N(C(=O)c1cc[n+](Cc3ccccc3Cl)cc1)CC2,False,False
293115,CC(=O)Nc1ccc(OCC(=O)N2CCN(CC2)c2ccccc2)cc1,43660.0,Ki (nM),CC(=O)Nc1ccc(OCC(=O)N2CCN(c3ccccc3)CC2)cc1,False,False
41257,"ClC1=C(Cl)C(=O)C(=O)C(Cl)=C1Cl |c:1,9|",1670.0,Ki (nM),O=C1C(=O)C(Cl)=C(Cl)C(Cl)=C1Cl,False,False
50474988,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(=O)OCCCCCl,1680.0,Ki (nM),CC1(C)CC[C@]2(C(=O)OCCCCCl)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,False,False
50332139,CN(C)c1nc2sc3CN(Cc4ccccc4)CCc3c2c(=O)o1,1700.0,Ki (nM),CN(C)c1nc2sc3c(c2c(=O)o1)CCN(Cc1ccccc1)C3,False,False
51510826,CCCCCCCCCCCCNC(=O)[C@@H](OCc1ccccc1)[C@H]1O[C@@H](N=[N+]=[N-])[C@H](OC(C)=O)[C@H]1OCc1ccccc1,1730.0,Ki (nM),CCCCCCCCCCCCNC(=O)[C@@H](OCc1ccccc1)[C@H]1O[C@@H](N=[N+]=[N-])[C@H](OC(C)=O)[C@H]1OCc1ccccc1,False,False
50099532,C(C[n+]1cccc2c1ccc1ccccc21)c1ccccc1,1800.0,Ki (nM),c1ccc(CC[n+]2cccc3c4ccccc4ccc32)cc1,False,False
51185308,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,1800.0,Ki (nM),CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,False,False
51261672,Oc1ccc(\C=N\c2c3CCCCc3nc3ccccc23)cc1,1800.0,Ki (nM),Oc1ccc(/C=N/c2c3c(nc4ccccc24)CCCC3)cc1,False,False
51286969,O=C(OCCc1ccc(OC(=O)\C=C\c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(OC(=O)\C=C\c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c1)\C=C\c1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,1800.0,Ki (nM),O=C(/C=C/c1ccc(OCc2ccccc2)c(OCc2ccccc2)c1)OCCc1ccc(OC(=O)/C=C/c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(OC(=O)/C=C/c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c1,False,False
50099547,CCCCCC[n+]1cc2ccccc2c2ccccc12,1800.0,Ki (nM),CCCCCC[n+]1cc2ccccc2c2ccccc21,False,False
51430042,CC(C)(C)CC(C)(C)NC(=O)C1(N2CCC2=O)C(=O)N(Cc2ccccc2)c2ccccc12,1800.0,Ki (nM),CC(C)(C)CC(C)(C)NC(=O)C1(N2CCC2=O)C(=O)N(Cc2ccccc2)c2ccccc21,False,False
50008790,CN(C)c1ccc(CC(=O)NCCCCCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1,1800.0,Ki (nM),CN(C)c1ccc(CC(=O)NCCCCCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1,False,False
51261664,C1CCN(CC1)c1c2CCCCc2nc2ccccc12,1800.0,Ki (nM),c1ccc2c(N3CCCCC3)c3c(nc2c1)CCCC3,False,False
51185299,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,1800.0,Ki (nM),CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,False,False
50502634,COc1cccc2C\C(=C/C3CCN(Cc4ccccc4)CC3)C(=O)c12,1835.0,Ki (nM),COc1cccc2c1C(=O)/C(=C/C1CCN(Cc3ccccc3)CC1)C2,False,False
50991353,[H][C@@]12C[C@]3(C=C(Br)C(=O)C=C3S1)C1=C(N2)C(=O)c2[nH]cc3CCN=C1c23,1900.0,Ki (nM),O=C1C=C2S[C@H]3C[C@]2(C=C1Br)C1=C(N3)C(=O)c2[nH]cc3c2C1=NCC3,False,False
51261670,COc1ccc(\C=N\c2c3CCCCc3nc3ccccc23)cc1OC,1900.0,Ki (nM),COc1ccc(/C=N/c2c3c(nc4ccccc24)CCCC3)cc1OC,False,False
51525246,CC(C)=CCCC1(C)Oc2cc(O)c3c(oc4c(O)cccc4c3=O)c2C=C1,1900.0,Ki (nM),CC(C)=CCCC1(C)C=Cc2c(cc(O)c3c(=O)c4cccc(O)c4oc23)O1,False,False
50501567,OC1=C(CCC\C1=C/c1ccc(OCCN2CCCCC2)cc1)C(=O)c1ccccc1,1900.0,Ki (nM),O=C(C1=C(O)/C(=C/c2ccc(OCCN3CCCCC3)cc2)CCC1)c1ccccc1,False,False
50431848,N[C@@H](Cc1ccccc1)C(=O)NCC(=O)Nc1c2CCCCc2nc2ccccc12,1908.0,Ki (nM),N[C@@H](Cc1ccccc1)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2,False,False
408494,C1CCc2c(C1)sc1N=CN3CCCN=C3c21,1920.0,Ki (nM),C1=Nc2sc3c(c2C2=NCCCN12)CCCC3,False,False
50287097,Oc1ccc2c(CC(=O)NNC(=S)Nc3c4CCCCc4nc4ccccc34)cc(=O)oc2c1,1940.0,Ki (nM),O=C(Cc1cc(=O)oc2cc(O)ccc12)NNC(=S)Nc1c2c(nc3ccccc13)CCCC2,False,False
51051486,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c(C)cccc12,1950.0,Ki (nM),Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,False,False
51463534,OCC1CCN(Cc2ccc(cc2)C(=O)N\N=C\c2cccc(Cl)c2)CC1,1953.0,Ki (nM),O=C(N/N=C/c1cccc(Cl)c1)c1ccc(CN2CCC(CO)CC2)cc1,False,False
51286976,COc1cc(\C=C\C(=O)OCCc2ccccc2)cc(OC)c1OCCc1ccccc1,1970.0,Ki (nM),COc1cc(/C=C/C(=O)OCCc2ccccc2)cc(OC)c1OCCc1ccccc1,False,False
50502631,Oc1ccc2C(=O)\C(Cc2c1)=C\C1CCN(Cc2ccccc2)CC1,1980.0,Ki (nM),O=C1/C(=C/C2CCN(Cc3ccccc3)CC2)Cc2cc(O)ccc21,False,False
50104892,CCOC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@H](Cc6ccccc6)NC(=O)OC(C)(C)C)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1,,Ki (nM),CCOC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@H](Cc6ccccc6)NC(=O)OC(C)(C)C)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,False,False
51441234,COc1cc2CN3CCc4cc5OCOc5c(OC)c4[C@@H]3Cc2c2COCOc12,2000.0,Ki (nM),COc1cc2c(c3c1OCOC3)C[C@H]1c3c(cc4c(c3OC)OCO4)CCN1C2,False,False
50048002,CCCCCSC(=O)OCC[N+](C)(C)C,2000.0,Ki (nM),CCCCCSC(=O)OCC[N+](C)(C)C,False,False
51451310,CN(CCCC(F)F)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1,2000.0,Ki (nM),CN(CCCC(F)F)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1,False,False
50583804,C\C=C1/C2Cc3[nH]c(=O)ccc3C1CC(C)=C2,2000.0,Ki (nM),C/C=C1\C2C=C(C)CC1c1ccc(=O)[nH]c1C2,False,False
50481732,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(=O)OCc1ccc(Cl)cc1Cl,2030.0,Ki (nM),CC1(C)CC[C@]2(C(=O)OCc3ccc(Cl)cc3Cl)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,False,False
51117640,CCCCCCCCCCCCC\C=C\C(=O)N1CCCCCCC1,2040.0,Ki (nM),CCCCCCCCCCCCC/C=C/C(=O)N1CCCCCCC1,False,False
51606003,CCOC(=O)C1=C(Nc2ccc(F)cc2)CC(c2ccc(F)cc2)N(c2ccc(F)cc2)C1c1ccc(F)cc1,2050.0,Ki (nM),CCOC(=O)C1=C(Nc2ccc(F)cc2)CC(c2ccc(F)cc2)N(c2ccc(F)cc2)C1c1ccc(F)cc1,False,False
50735855,CC1=CC2Cc3[nH]c(=O)ccc3C3(C1)NCCC(C)=C23,2050.0,Ki (nM),CC1=CC2Cc3[nH]c(=O)ccc3C3(C1)NCCC(C)=C23,False,False
51188720,N\C(=N/OC(=O)c1cnn(c1C(F)(F)F)-c1ccc(cc1)[N+]([O-])=O)c1ccc(cc1)C(F)(F)F,2070.0,Ki (nM),N/C(=N\OC(=O)c1cnn(-c2ccc([N+](=O)[O-])cc2)c1C(F)(F)F)c1ccc(C(F)(F)F)cc1,False,False
50287100,COc1ccc2nc3CCCCc3c(N)c2c1,2090.0,Ki (nM),COc1ccc2nc3c(c(N)c2c1)CCCC3,False,False
50949141,COc1ccc2nc3CCCCc3c(N)c2c1,2090.0,Ki (nM),COc1ccc2nc3c(c(N)c2c1)CCCC3,False,False
50008793,CN(C)c1ccc(CC(=O)NCCCCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1,2100.0,Ki (nM),CN(C)c1ccc(CC(=O)NCCCCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1,False,False
51261723,Oc1ccc(\C=N\c2c3CCCCc3nc3ccccc23)cc1O,2100.0,Ki (nM),Oc1ccc(/C=N/c2c3c(nc4ccccc24)CCCC3)cc1O,False,False
50431856,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)Nc1c2CCCCc2nc2ccccc12,2214.0,Ki (nM),N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)Nc1c2c(nc3ccccc13)CCCC2,False,False
50871600,CC[N+](C)(CC)CCCn1c(-c2ccccc2)c2cc(N)ccc2c2ccc(=[NH2+])cc12,2230.0,Ki (nM),CC[N+](C)(CC)CCCn1c2cc(=N)ccc-2c2ccc(N)cc2c1-c1ccccc1,False,False
293126,CC(=O)Nc1ccc(OCCCN2CCN(CC2)c2ccccn2)cc1,2260.0,Ki (nM),CC(=O)Nc1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1,False,False
51261658,C(Oc1cc(\C=N\c2c3CCCCc3nc3ccccc23)cc(OCc2ccccc2)c1OCc1ccccc1)c1ccccc1,2300.0,Ki (nM),C(=N/c1c2c(nc3ccccc13)CCCC2)\c1cc(OCc2ccccc2)c(OCc2ccccc2)c(OCc2ccccc2)c1,False,False
50289963,COc1ccc(cc1)-c1cc2O[C@]3(C)CC[C@@]4(O)[C@](C)(CCC(=O)OC4(C)C)[C@]3(O)Cc2c(=O)o1,2300.0,Ki (nM),COc1ccc(-c2cc3c(c(=O)o2)C[C@@]2(O)[C@@]4(C)CCC(=O)OC(C)(C)[C@@]4(O)CC[C@@]2(C)O3)cc1,False,False
335100,CC(=O)C(=N/O)\C(=O)NCC1CCN(Cc2ccccc2)CC1,2300.0,Ki (nM),CC(=O)/C(=N\O)C(=O)NCC1CCN(Cc2ccccc2)CC1,False,False
50630027,C(c1ccc2ccc(C[n+]3cccc4ccccc34)cc2c1)[n+]1cccc2ccccc12,2300.0,Ki (nM),c1ccc2c(c1)ccc[n+]2Cc1ccc2ccc(C[n+]3cccc4ccccc43)cc2c1,False,False
51188745,N\C(=N/OC(=O)c1cnn(c1C(F)(F)F)-c1ccc(cc1)[N+]([O-])=O)c1ccc(Cl)cc1,2350.0,Ki (nM),N/C(=N\OC(=O)c1cnn(-c2ccc([N+](=O)[O-])cc2)c1C(F)(F)F)c1ccc(Cl)cc1,False,False
50287098,Oc1ccc2c(CC(=O)N\N=C3/SCC(=O)N3c3c4CCCCc4nc4ccccc34)cc(=O)oc2c1,2360.0,Ki (nM),O=C(Cc1cc(=O)oc2cc(O)ccc12)N/N=C1\SCC(=O)N1c1c2c(nc3ccccc13)CCCC2,False,False
408495,C(N1CCc2c(C1)sc1N=CN3CCN=C3c21)c1ccccc1,2360.0,Ki (nM),C1=Nc2sc3c(c2C2=NCCN12)CCN(Cc1ccccc1)C3,False,False
51286974,COc1cc(\C=C\C(=O)OCCc2ccccc2)cc(OC)c1OCCc1ccccc1,2440.0,Ki (nM),COc1cc(/C=C/C(=O)OCCc2ccccc2)cc(OC)c1OCCc1ccccc1,False,False
51031502,OC1CCCN(Cc2ccc(cc2)C(=O)N\N=C\c2ccc(cc2)[N+]([O-])=O)C1,2450.0,Ki (nM),O=C(N/N=C/c1ccc([N+](=O)[O-])cc1)c1ccc(CN2CCCC(O)C2)cc1,False,False
50353662,CC(=C)[C@@H]1CC[C@]2(C)[C@H](CC[C@@H]3[C@H]4[C@H]5OC[C@@]4(CCC5(C)C)CC[C@@]23C)[C@@]1(C)CCC(=O)OCC#C,2480.0,Ki (nM),C#CCOC(=O)CC[C@]1(C)[C@H]2CC[C@@H]3[C@H]4[C@H]5OC[C@@]4(CCC5(C)C)CC[C@@]3(C)[C@]2(C)CC[C@H]1C(=C)C,False,False
50350061,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@]3(C)C[C@@]4(O)CC[C@H]5C(C)(C)[C@H](CC[C@]5(C)[C@H]4CC[C@H]23)OC(C)=O)C1(C)C,2490.0,Ki (nM),CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@]3(C)C[C@@]4(O)CC[C@H]5C(C)(C)[C@@H](OC(C)=O)CC[C@]5(C)[C@H]4CC[C@@H]32)C1(C)C,False,False
50012024,Oc1ccc(O)c(c1)-c1c2ccc(n2)c(-c2cc(O)ccc2O)c2ccc([nH]2)c(-c2cc(O)ccc2O)c2ccc([nH]2)c(-c2cc(O)ccc2O)c2ccc1n2,2500.0,Ki (nM),Oc1ccc(O)c(-c2c3nc(c(-c4cc(O)ccc4O)c4ccc([nH]4)c(-c4cc(O)ccc4O)c4ccc([nH]4)c(-c4cc(O)ccc4O)c4nc2C=C4)C=C3)c1,False,False
50008799,CN(C)c1ccc(CC(=O)NCCCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1,2500.0,Ki (nM),CN(C)c1ccc(CC(=O)NCCCCCCCCCCNC23CC4CC(CC(C4)C2)C3)cc1,False,False
51261657,COc1ccc(\C=N\c2c3CCCCc3nc3ccccc23)cc1OC,2500.0,Ki (nM),COc1ccc(/C=N/c2c3c(nc4ccccc24)CCCC3)cc1OC,False,False
50724578,C=CCCCCCCCC1CCC(CCCCC=C)N1,2500.0,Ki (nM),C=CCCCCCCCC1CCC(CCCCC=C)N1,False,False
51261638,C1CCN(CC1)c1c2CCCCc2nc2ccccc12,2500.0,Ki (nM),c1ccc2c(N3CCCCC3)c3c(nc2c1)CCCC3,False,False
