BindingDB_ID,smiles,value,standard_type
51257763,CCOc1ccc(Cc2nc3cc(ccc3n2CCCCCCNc2c3CCCCc3nc3ccccc23)C(=O)N(CC)CC)cc1,89.0,Ki (nM)
50919601,CC(C)(C)c1cc[n+](CCCCCCCC[n+]2ccc(cc2)C(C)(C)C)cc1,90.0,Ki (nM)
50713131,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@@H]2[C@H]4[C@@H](CC[C@@]4(CC[C@@]32C)C(=O)OCc2ccccc2)C(C)=O)C1(C)C,90.0,Ki (nM)
50286987,COc1cc2cc(C(=O)NCCCCCCCNc3c4CCCCc4nc4ccccc34)c(=O)oc2cc1OC,91.0,Ki (nM)
51336044,COc1cc2cc(NC(=O)[C@H]3CCC[C@H](C3)NCc3ccccc3)c(=O)oc2cc1OC,93.0,Ki (nM)
51336045,COc1cc2cc(NC(=O)[C@H]3CCC[C@H](C3)NCc3ccccc3)c(=O)oc2cc1OC,93.4,Ki (nM)
51188743,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc2OCCCOc2c1,95.0,Ki (nM)
51188752,COc1cc2C\C(=C/c3ccc(CN4CCCCC4)cc3)C(=O)c2cc1OC,95.0,Ki (nM)
50351249,CN(Cc1ccccc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1,100.0,Ki (nM)
17524,C(CCCSc1c2CCCCc2nc2ccccc12)CCNc1c2CCCCc2nc2ccccc12,100.0,Ki (nM)
51506183,CCCCCCCNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1,100.0,Ki (nM)
51042067,Cc1ccc(cc1)[C@@H]1CC(N=N1)c1c2ccccc2cc2ccccc12,,Ki (nM)
50919602,CC(C)(C)c1cc[n+](\C=C2\CC3=C\C(CC=C3C=C2)=C\[n+]2ccc(cc2)C(C)(C)C)cc1,100.0,Ki (nM)
51322853,FC(F)(F)c1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1,100.0,Ki (nM)
51261731,Oc1ccc(CCOCCCCCNc2c3CCCCc3nc3ccccc23)cc1,100.0,Ki (nM)
51042068,[O-][N+](=O)c1ccc(cc1)[C@@H]1CC(N=N1)c1c2ccccc2cc2ccccc12,,Ki (nM)
51042069,Oc1ccc(cc1)[C@@H]1CC(N=N1)c1c2ccccc2cc2ccccc12,,Ki (nM)
50949134,Nc1c2CCCCc2nc2ccccc12,101.0,Ki (nM)
50287106,Nc1c2CCCCc2nc2ccccc12,101.0,Ki (nM)
50991027,COc1ccc(Nc2nc(Cl)nc(n2)N2CCN(CC2)c2cc(C)nc3ncnn23)cc1,102.0,Ki (nM)
50225822,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,104.0,Ki (nM)
50828045,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,104.0,Ki (nM)
50289509,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,104.0,Ki (nM)
51188760,COc1cc2CC(Oc3ccc(cc3)C(C)N3CCCCC3)C(=O)c2cc1OC,106.0,Ki (nM)
50873550,CC1(C)CC(=O)C2C(c3ccc(F)cc3)c3c(N)c4CCCCc4nc3N=C2C1,106.0,Ki (nM)
51261679,C(CCNc1c2CCCCc2nc2ccccc12)CCOCCc1ccc(OCc2ccccc2)cc1,110.0,Ki (nM)
51261642,Oc1ccc(CCNc2c3CCCCc3nc3ccccc23)cc1,110.0,Ki (nM)
248230,"CN(C)c1ccc2nc3ccc(cc3sc2c1)=[N+](C)C |(17.73,-40.24,;19.06,-41.01,;19.06,-42.55,;20.39,-40.24,;20.4,-38.7,;21.73,-37.93,;23.06,-38.69,;24.39,-37.91,;25.73,-38.69,;27.06,-37.93,;28.39,-38.69,;28.39,-40.23,;27.06,-41,;25.73,-40.23,;24.39,-41.01,;23.06,-40.24,;21.73,-41.01,;29.73,-41,;29.73,-42.54,;31.06,-40.23,)|",110.0,Ki (nM)
50526843,COc1cc2nc(NC(=O)CN3CCN(CCN(C)C)CC3)sc2cc1OC,110.0,Ki (nM)
50506936,C[N+]1(CCCNC(=O)c2cnc3C(=O)c4ccccc4-c4cccc2c34)CCCCC1,110.0,Ki (nM)
51261667,C(CCNc1c2CCCCc2nc2ccccc12)CCOCCc1ccc(OCc2ccccc2)cc1,110.0,Ki (nM)
51475822,Nc1c2CCCCc2nc2ccccc12,110.0,Ki (nM)
51188718,COc1cc2CC(Oc3cccc(c3)C(C)N3CCOCC3)C(=O)c2cc1OC,118.0,Ki (nM)
51261725,Oc1ccc(CNCCCCCCNc2c3CCCCc3nc3ccccc23)cc1O,120.0,Ki (nM)
51261677,COc1ccc(CNCCCCCNc2c3CCCCc3nc3ccccc23)cc1OC,120.0,Ki (nM)
17523,Clc1cc(Cl)c2c(SCCCCCCNc3c4CCCCc4nc4ccccc34)c3CCCCc3nc2c1,120.0,Ki (nM)
51428871,C(CC1CCN(Cc2ccccc2)CC1)Nc1cc2CCCCc3ccccc3-c2nn1,120.0,Ki (nM)
51506318,CC(C)(C)OC(=O)Nc1ccc(O)c(c1)C(=O)NCCCN1CCCCC1,120.0,Ki (nM)
51245787,S=C(NCc1ccccc1)NNc1c2CCCCc2nc2ccccc12,121.0,Ki (nM)
50778312,COc1cc2CC(C3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC,122.0,Ki (nM)
51526341,O=C1CC2CCc3ccsc3C2=NN1CCN1CCN(Cc2ccccc2)CC1,123.0,Ki (nM)
50961489,O=C(NCCc1c[nH]c2ccccc12)c1ccc(OCCCC[n+]2cccc3ccccc23)cc1,124.0,Ki (nM)
51188753,COc1cc2C\C(=C/c3cccc(CN4CCCC4)c3)C(=O)c2cc1OC,127.0,Ki (nM)
51611609,O=C1N[C@@H]2C[C@@H](S(=O)(=O)NCCC3CCN(Cc4ccccc4)CC3)[C@@H]2c2c(Cl)cccc21,128.0,Ki (nM)
51271860,Cc1ccc2oc(cc(=O)c2c1)-c1ccc(OCCCCCCN2CCCCC2)cc1,129.0,Ki (nM)
51271859,Cc1ccc2oc(cc(=O)c2c1)-c1ccc(OCCCCCCN2CCCCC2)cc1,129.0,Ki (nM)
15315,CN(CCCCSc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,130.0,Ki (nM)
50294858,CCCCNC(=O)OCCCCCCCCCCCCCCCCO,130.0,Ki (nM)
50870815,CO\N=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,130.0,Ki (nM)
50431864,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc1c2CCCCc2nc2ccccc12,130.0,Ki (nM)
51188742,CSc1cccc(c1)\N=C1/NC(=O)C(CC(=O)Nc2ccc(F)c(F)c2)S1,130.0,Ki (nM)
50021335,COc1cc(CNC2C3N(Cc4cc(OC)cc(OC)c4)C4C(N(Cc5cc(OC)cc(OC)c5)C5(CC5N3Cc3cc(OC)cc(OC)c3)N4Cc3cc(OC)cc(OC)c3)N2Cc2cc(OC)cc(OC)c2)cc(OC)c1,130.0,Ki (nM)
51261680,C(CCNc1c2CCCCc2nc2ccccc12)CCOCCc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,130.0,Ki (nM)
17711,c1ccc2c(c1)c(c3c(n2)CCCC3)N,137.0,Ki (nM)
51188822,COc1cc2CC(Oc3cccc(c3)C(C)N3CCCC3)C(=O)c2cc1OC,138.0,Ki (nM)
50564487,C(c1ccc2ccc(C[n+]3ccccc3)cc2c1)[n+]1ccccc1,140.0,Ki (nM)
51261668,Oc1ccc(CCOCCCCCNc2c3CCCCc3nc3ccccc23)cc1,140.0,Ki (nM)
51553657,CC[N+](CC)(CCCCCn1c(C)cc(=O)n(CCCCC[N+](CC)(CC)Cc2ccccc2)c1=O)Cc1ccccc1,140.0,Ki (nM)
50564488,C(c1ccc2ccc(C[n+]3ccccc3)cc2c1)[n+]1ccccc1,140.0,Ki (nM)
51215280,CO[P@]1(=O)OC[C@H]2COC(=O)C2=C(C)O1,140.0,Ki (nM)
51095876,CCN(CCCCOc1ccc(cc1)-c1coc2cc(OCCCCN(CC)Cc3ccccc3OC)cc(O)c2c1=O)Cc1ccccc1OC,140.0,Ki (nM)
51102542,Nc1c2CCCCc2nc2NC(=S)NC(c3cccc(Br)c3)c12,147.0,Ki (nM)
51414130,Cc1ccc(cc1)S(=O)(=O)SCc1ccc(cc1)C(F)(F)F,148.0,Ki (nM)
50706633,CN(CC#C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,149.0,Ki (nM)
50811169,Clc1cc(Cl)c2c(NCCCCCCCNc3c4CCCCc4nc4cc(Cl)cc(Cl)c34)c3CCCCc3nc2c1,150.0,Ki (nM)
50294857,CCCCNC(=O)OCCCCCCCCOC(=O)NCCCC,150.0,Ki (nM)
51553672,CC[N+](CC)(CCCCCn1c(=O)cc(C)n(CCCCCCn2c(C)cc(=O)n(C)c2=O)c1=O)Cc1ccccc1C(F)(F)F,150.0,Ki (nM)
17517,Clc1cc(Cl)c2c(NCCCCCCCNc3c4CCCCc4nc4cc(Cl)cc(Cl)c34)c3CCCCc3nc2c1,150.0,Ki (nM)
50828054,Nc1c2CCCCc2nc2ccccc12,151.0,Ki (nM)
50225821,Nc1c2CCCCc2nc2ccccc12,151.0,Ki (nM)
15557,c1ccc2c(c1)c(c3c(n2)CCCC3)N,151.0,Ki (nM)
50937489,CC(=O)Nc1nn(C)c2nc3nc4CCCCc4c(N)c3cc12,155.0,Ki (nM)
50873547,CC1(C)CC(=O)C2C(c3ccncc3)c3c(N)c4CCCCc4nc3N=C2C1,157.0,Ki (nM)
50986026,Clc1cc(NC(=O)OCCCCCNCc2c[nH]c3ccccc23)cc(Cl)n1,157.0,Ki (nM)
51414134,Cc1ccc(cc1)S(=O)(=O)SCc1ccc(cc1)C(C)(C)C,157.0,Ki (nM)
50294856,CCCCNC(=O)OCCCCCCCCCCCCCCOC(=O)NCCCC,160.0,Ki (nM)
50294852,CCCCNC(=O)OCCCCCCCCCCOC(=O)NCCCC,160.0,Ki (nM)
50294849,CCCCNC(=O)OCCCCCCCCCCCCOC(=O)NCCCC,160.0,Ki (nM)
51261665,COc1ccc(CNCCCCCNc2c3CCCCc3nc3ccccc23)cc1OC,160.0,Ki (nM)
51188836,COc1cc2CC(Cc3ccc(CN(C)C)cc3)C(=O)c2cc1OC,161.0,Ki (nM)
41258,"ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O |c:1,t:7|",163.0,Ki (nM)
51414129,Cc1ccc(cc1)S(=O)(=O)SCc1ccc(cc1)C#N,166.0,Ki (nM)
51368495,N(c1nnc(o1)-c1cccc2ccccc12)c1ncccn1,170.0,Ki (nM)
51261714,Oc1cc(\C=N\c2c3CCCCc3nc3ccccc23)cc(O)c1O,170.0,Ki (nM)
50294851,CCCCNC(=O)OCCCCCCCCCCCCCCCCOC(=O)NCCCC,170.0,Ki (nM)
51261666,COc1ccc(CCOCCCCCNc2c3CCCCc3nc3ccccc23)cc1OC,170.0,Ki (nM)
51506319,CC1CCCCN1CCCNC(=O)c1cc(NC(=O)OC(C)(C)C)ccc1O,170.0,Ki (nM)
51555677,[H][C@@]12Cc3ccccc3-c3c(OC)c(OC)cc(CCN1C(=O)c1cc[n+](Cc4ccccc4)cc1)c23,170.0,Ki (nM)
50211430,C\C=C1/[C@@H]2Cc3[nH]c(=O)ccc3[C@]1(N)CC(C)=C2,175.0,Ki (nM)
17787,"C\C=C1/C2Cc3[nH]c(=O)ccc3C1(N)CC(C)=C2 |c:18,TLB:10:11:2:17.15.14,THB:1:2:4.5.11:17.15.14|",175.0,Ki (nM)
17375,"C\C=C1/C2Cc3[nH]c(=O)ccc3C1(N)CC(C)=C2 |c:18,TLB:10:11:2:17.15.14,THB:1:2:4.5.11:17.15.14|",175.0,Ki (nM)
51271849,Cc1ccc2oc(cc(=O)c2c1)-c1ccc(OCCCCCCN2CCCCCC2)cc1,176.0,Ki (nM)
51271867,Cc1ccc2oc(cc(=O)c2c1)-c1ccc(OCCCCCCN2CCCCCC2)cc1,178.0,Ki (nM)
50099521,C(c1ccc(C[n+]2cc3ccccc3c3ccccc23)cc1)[n+]1cc2ccccc2c2ccccc12,180.0,Ki (nM)
335098,O\N=C\C(=O)c1cccnc1OCC1CCN(Cc2ccccc2)CC1,180.0,Ki (nM)
51261661,Oc1ccc(CNc2c3CCCCc3nc3ccccc23)cc1O,190.0,Ki (nM)
51240526,OC(CNc1ccc(Cl)cc1)CNc1ccc(cc1)-c1nc2ccccc2o1,190.0,Ki (nM)
51261674,Oc1ccc(CNc2c3CCCCc3nc3ccccc23)cc1O,190.0,Ki (nM)
183478,"COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24 |r,c:12|",190.0,Ki (nM)
51140786,CN(C)CCOC(=O)\C=C\c1ccc2oc(cc(=O)c2c1)C(=O)Nc1ccc(C)cc1,190.0,Ki (nM)
15311,C(CCCCNc1c2CCCCc2nc2ccccc12)CCCCSc1c2CCCCc2nc2ccccc12,195.0,Ki (nM)
51188847,COc1cc2C\C(=C/c3ccc(CN4CCCC4)cc3)C(=O)c2cc1OC,198.0,Ki (nM)
51414131,Cc1ccc(cc1)S(=O)(=O)SCc1ccc(OC(F)(F)F)cc1,198.0,Ki (nM)
50961490,C[N+](C)=c1ccn(CCCCOc2ccc(cc2)C(=O)NCCc2c[nH]c3ccccc23)cc1,198.0,Ki (nM)
50287095,CCN(CCC(=O)NCCCCNc1c2CCCCc2nc2ccccc12)C1CCCCC1,199.0,Ki (nM)
50294847,CCCCNC(=O)OCCCCCCCCCCO,200.0,Ki (nM)
50048019,CC[N+](C)(C)c1cccc(O)c1,200.0,Ki (nM)
50294848,CCCCNC(=O)OCCCCCCCCCCCCCCO,200.0,Ki (nM)
50048020,CC[N+](C)(C)c1cccc(O)c1,200.0,Ki (nM)
50986032,Clc1cc(cc(Cl)n1)C(=O)NCCCCCCNCc1c[nH]c2ccccc12,205.0,Ki (nM)
51257774,CCOc1ccc(Cc2nc3cc(ccc3n2CCCCCCNc2c3CCCCc3nc3ccccc23)C(=O)N(CC)CC)cc1,206.0,Ki (nM)
50457592,O=c1cc(oc2cc(OCCCCCCCCN3CCCC3)ccc12)-c1cccc2ccccc12,206.0,Ki (nM)
51188765,COc1cc2CC(Oc3ccc(CN(C)C)cc3)C(=O)c2cc1OC,209.0,Ki (nM)
51261726,Oc1ccc(CCOCCCCCNc2c3CCCCc3nc3ccccc23)cc1O,210.0,Ki (nM)
50811174,C(CCNc1c2CCCCc2nc2ccccc12)CCSc1c2CCCCc2nc2ccccc12,210.0,Ki (nM)
50099550,CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1,210.0,Ki (nM)
15540,Nc1c2Cc3ccccc3-c2nc2ccccc12,210.0,Ki (nM)
15301,c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCNc4c5ccccc5nc6c4CCCC6,210.0,Ki (nM)
51375817,COc1ccc2cc(ccc2c1)C(=O)NCCC1CCN(Cc2ccccc2)CC1,210.0,Ki (nM)
51261637,COc1ccc(CNc2c3CCCCc3nc3ccccc23)cc1OC,210.0,Ki (nM)
50713017,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@@H]2[C@H]4[C@@H](CC[C@@]4(CC[C@@]32C)C(=O)OCc2ccccc2)C(C)=O)C1(C)C,210.0,Ki (nM)
51188821,COc1cc2CC(Oc3ccc(cc3)C(C)N3CCOCC3)C(=O)c2cc1OC,217.0,Ki (nM)
51414132,COc1ccc(CSS(=O)(=O)c2ccc(C)cc2)cc1,219.0,Ki (nM)
