smiles,standard_type,value,units,bindingdb_id,data_validity_comment,activity_comment,warning_flag
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CN(CCO4)C4CC4)c(c3)[N+]([O-])=O)c(Oc3cccc4[nH]cnc34)c2)=C(C1)c1ccc(Cl)cc1 |c:61|,Ki, 0.023,nM,325135,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4CCN(CC4)C4COC4)c(Cl)c3)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:60|,Ki, 0.023,nM,339849,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(O[C@@H]4CCN(C4)C(CF)CF)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.023,nM,704827,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(O[C@@H]4CCN(C4)C(CF)CF)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.023,nM,1372966,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4CCN(CC4)C4COC4)c(Cl)c3)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.023,nM,1180070,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4CCN(CC4)C4COC4)c(Cl)c3)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.023,nM,1373038,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4(F)CCOCC4)c(F)c3)c(Oc3cccc4[nH]ncc34)c2)=C(C1)c1ccc(Cl)cc1 |c:56|,Ki, 0.023,nM,325119,,,False
COc1cccc(CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cnc3[nH]ccc3c2)N2CCN(CC3=C(CC(C)(C)CC3)c3ccc(Cl)cc3)CC2)c1,Ki, 0.023,nM,1372907,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4CCOCC4)c(c3)C#N)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.024,nM,704875,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4CCOCC4)c(c3)C#N)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.024,nM,1373014,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NN4CCN(CC4)C4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:63|,Ki, 0.024,nM,339779,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4CCOCC4)c(c3)C#N)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.024,nM,1180021,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCC(C)(CC4)C#N)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.024,nM,1180184,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NN4CCN(CC4)C4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.024,nM,1179929,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCC(C)(CC4)C#N)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.024,nM,1373095,,,False
CN1CCC(O)(CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2ccccc2Cl)N2CCN(CC3=C(CC(C)(C)CC3)c3ccc(Cl)cc3)CC2)CC1 |t:45|,Ki, 0.024,nM,281520,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4CCOCC4)c(c3)C#N)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:56|,Ki, 0.024,nM,339825,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCC(C)(CC4)C#N)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.024,nM,704956,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NN4CCN(CC4)C4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.024,nM,704829,,,False
"CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCC(C)(CC4)C#N)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:60,(11.49,-10.55,;10.67,-9.24,;12.21,-9.29,;10.67,-7.7,;9.34,-6.93,;8,-7.7,;6.67,-6.93,;6.67,-5.39,;8,-4.62,;8,-3.08,;6.67,-2.31,;5.33,-3.08,;5.33,-4.62,;6.67,-.77,;8,,;8,1.54,;6.67,2.31,;6.67,3.85,;8,4.62,;5.33,4.62,;5.33,6.16,;5.33,7.7,;6.87,6.16,;3.79,6.16,;3.02,4.83,;1.48,4.83,;.71,6.16,;-.83,6.16,;-1.6,4.83,;-3.14,4.83,;-3.91,3.49,;-5.45,3.49,;-6.22,4.83,;-7.57,4.1,;-5.45,6.16,;-3.91,6.16,;-7.57,5.55,;-8.93,6.27,;1.48,7.49,;3.02,7.49,;.71,8.83,;1.48,10.16,;-.83,8.83,;5.33,1.54,;4,2.31,;2.67,1.54,;2.67,,;1.33,-.77,;;-1.46,-.48,;-2.37,.77,;-1.46,2.02,;,1.54,;1.33,2.31,;5.33,,;8,-9.24,;9.34,-10.01,;6.67,-10.01,;6.67,-11.55,;5.33,-12.32,;4,-11.55,;2.67,-12.32,;4,-10.01,;5.33,-9.24,)|",Ki, 0.024,nM,339903,,,False
CN1CCC(O)(CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2ccccc2Cl)N2CCN(CC3=C(CC(C)(C)CC3)c3ccc(Cl)cc3)CC2)CC1,Ki, 0.024,nM,387769,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NN4CCN(CC4)C4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.024,nM,1372968,,,False
CC1(C)CC(=C(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4(F)CCOCC4)c(Cl)c3)c(Oc3cccc4[nH]ncc34)c2)CO1)c1ccc(Cl)cc1 |t:4|,Ki, 0.025,nM,325168,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCN(CCCO)CC4)c(c3)[N+]([O-])=O)c(Oc3ccc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:60|,Ki, 0.025,nM,324907,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCC(F)(F)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:59|,Ki, 0.026,nM,339781,,,False
CN1CCC(CC1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1ccccc1)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1 |t:45|,Ki, 0.026,nM,324868,,,False
"CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4CCC(O)CC4)c(Cl)c3)c(Oc3cccc4[nH]ncc34)c2)=C(C1)c1ccc(Cl)cc1 |c:56,(-12.72,-.61,;-11.18,-.56,;-12,-1.86,;-9.85,-1.33,;-8.52,-.56,;-8.52,.98,;-7.18,1.75,;-5.85,.98,;-5.85,-.56,;-4.52,-1.33,;-3.18,-.56,;-3.18,.98,;-4.52,1.75,;-1.85,-1.33,;-1.85,-2.87,;-.51,-3.64,;.82,-2.87,;2.15,-3.64,;2.15,-5.18,;3.49,-2.87,;4.82,-3.64,;5.59,-2.3,;4.05,-4.97,;6.15,-4.41,;6.15,-5.95,;7.49,-6.72,;8.82,-5.95,;10.16,-6.72,;11.49,-5.95,;12.82,-6.72,;14.16,-5.95,;15.49,-6.72,;15.49,-8.26,;16.82,-9.03,;14.16,-9.03,;12.82,-8.26,;8.82,-4.41,;10.16,-3.64,;7.49,-3.64,;.82,-1.33,;2.15,-.56,;2.15,.98,;3.49,1.75,;3.49,3.29,;2.15,4.06,;.82,3.29,;-.65,3.77,;-1.55,2.52,;-.65,1.28,;.82,1.75,;-.51,-.56,;-9.85,1.75,;-11.18,.98,;-9.85,3.29,;-11.18,4.06,;-11.18,5.6,;-9.85,6.37,;-9.85,7.91,;-8.52,5.6,;-8.52,4.06,)|",Ki, 0.026,nM,325124,,,False
CN1CCC(CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cccc3[nH]cnc23)N2CCN(CC3=C(CC(C)(C)CC3)c3ccc(Cl)cc3)CC2)CC1 |t:47|,Ki, 0.026,nM,325157,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCN(CC4)C4CC4)c(c3)S(=O)(=O)C(F)(F)F)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.026,nM,704782,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCC(F)(F)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.026,nM,704831,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCN(CC4)C4CC4)c(c3)S(=O)(=O)C(F)(F)F)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.026,nM,1179835,,,False
"CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCC(CC4)C#N)c(c3)[N+]([O-])=O)c(Oc3cccc4[nH]cnc34)c2)=C(C1)c1ccc(Cl)cc1 |c:59,(13.7,-1.45,;12.16,-1.51,;12.97,-.2,;10.82,-.74,;9.49,-1.51,;9.49,-3.05,;8.16,-3.82,;6.82,-3.05,;6.82,-1.51,;5.49,-.74,;4.16,-1.51,;4.16,-3.05,;5.49,-3.82,;2.82,-.74,;2.82,.8,;1.49,1.57,;.15,.8,;-1.18,1.57,;-1.18,3.11,;-2.51,.8,;-3.85,1.57,;-5.18,2.34,;-3.08,2.91,;-4.62,.24,;-3.85,-1.09,;-4.62,-2.43,;-6.16,-2.43,;-6.93,-3.76,;-6.16,-5.09,;-6.93,-6.43,;-6.16,-7.76,;-6.93,-9.1,;-8.47,-9.1,;-9.24,-7.76,;-8.47,-6.43,;-9.24,-10.43,;-10.01,-11.76,;-6.93,-1.09,;-6.16,.24,;-8.47,-1.09,;-9.24,.24,;-9.24,-2.43,;.15,-.74,;-1.18,-1.51,;-1.18,-3.05,;.15,-3.82,;.15,-5.36,;-1.18,-6.13,;-2.51,-5.36,;-3.98,-5.83,;-4.88,-4.59,;-3.98,-3.34,;-2.51,-3.82,;1.49,-1.51,;10.82,-3.82,;12.16,-3.05,;10.82,-5.36,;12.16,-6.13,;12.16,-7.67,;10.82,-8.44,;10.82,-9.98,;9.49,-7.67,;9.49,-6.13,)|",Ki, 0.026,nM,325165,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCN(CC4)C4CC4)c(c3)S(=O)(=O)C(F)(F)F)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.026,nM,1372921,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCC(F)(F)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.026,nM,1372970,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCC(F)(F)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.026,nM,1179933,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCN(CC4)C4CC4)c(c3)S(=O)(=O)C(F)(F)F)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:64|,Ki, 0.026,nM,339738,,,False
CC(C)N1CCC(CC1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1ccccc1Cl)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1,Ki, 0.027,nM,387620,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCN(CC4)C4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3ccc(O)cc3Cl)c2)=C(C1)c1ccc(Cl)cc1 |c:61|,Ki, 0.027,nM,281543,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCN(CC4)C4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3ccc(O)cc3Cl)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.027,nM,387792,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCCCN4CCCC4)c(c3)[N+]([O-])=O)c(Oc3ccc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:58|,Ki, 0.027,nM,324818,,,False
CC(C)N1CCC(CC1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1ccccc1Cl)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1 |t:48|,Ki, 0.027,nM,281374,,,False
CN1CCC(CC1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cccc(Cl)c1)N1CCN(CC2=C(CC(C)(C)OC2)c2ccc(Cl)cc2)CC1 |t:46|,Ki, 0.028,nM,281476,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCC(CC4)N4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cccc4NC(=O)Cc34)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.028,nM,387895,,,False
CN1CCC(CC1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cccc(Br)c1)N1CCN(CC2=C(CC(C)(C)OC2)c2ccc(Cl)cc2)CC1 |t:46|,Ki, 0.028,nM,281489,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OC[C@@H]4CCN(CC(F)F)C4)c(Cl)c3)c(Oc3cccc4[nH]ncc34)c2)=C(C1)c1ccc(Cl)cc1 |c:58|,Ki, 0.028,nM,325148,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4COCCO4)c(c3)[N+]([O-])=O)c(Oc3cccc4[nH]ncc34)c2)=C(C1)c1ccc(Cl)cc1 |c:57|,Ki, 0.028,nM,325150,,,False
CN1CCC(CC1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cccc(Br)c1)N1CCN(CC2=C(CC(C)(C)OC2)c2ccc(Cl)cc2)CC1,Ki, 0.028,nM,387737,,,False
CN1CCC(CC1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cccc(Cl)c1)N1CCN(CC2=C(CC(C)(C)OC2)c2ccc(Cl)cc2)CC1,Ki, 0.028,nM,387722,,,False
"CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC4CCC(CC4)N4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cccc4NC(=O)Cc34)c2)=C(C1)c1ccc(Cl)cc1 |c:64,(17.17,-3.13,;15.63,-3.18,;16.44,-1.87,;14.29,-2.41,;12.96,-3.18,;12.96,-4.72,;11.63,-5.49,;10.29,-4.72,;10.29,-3.18,;8.96,-2.41,;7.62,-3.18,;7.62,-4.72,;8.96,-5.49,;6.29,-2.41,;6.29,-.87,;4.96,-.1,;3.62,-.87,;2.29,-.1,;.96,-.87,;2.29,1.44,;.96,2.21,;1.73,3.54,;.19,.88,;-.38,2.98,;-1.71,2.21,;-3.05,2.98,;-3.05,4.52,;-4.38,5.29,;-5.71,4.52,;-5.71,2.98,;-7.05,2.21,;-8.38,2.98,;-8.38,4.52,;-7.05,5.29,;-9.71,2.21,;-9.71,.67,;-11.05,-.1,;-12.38,.67,;-12.38,2.21,;-11.05,2.98,;-1.71,5.29,;-.38,4.52,;-1.71,6.83,;-3.05,7.6,;-.38,7.6,;3.62,-2.41,;2.29,-3.18,;2.29,-4.72,;3.62,-5.49,;3.62,-7.03,;2.29,-7.8,;.96,-7.03,;-.51,-7.5,;-1.41,-6.26,;-2.95,-6.26,;-.51,-5.01,;.96,-5.49,;4.96,-3.18,;14.29,-5.49,;15.63,-4.72,;14.29,-7.03,;15.63,-7.8,;15.63,-9.34,;14.29,-10.11,;14.29,-11.65,;12.96,-9.34,;12.96,-7.8,)|",Ki, 0.028,nM,281643,,,False
CO[C@H]1CC[C@H](CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cnc3[nH]ccc3c2)N2CCN(CC3=C(CCC4(CCCC4)C3)c3ccc(Cl)cc3)CC2)CC1,Ki, 0.029,nM,704666,,,False
CO[C@H]1CC[C@H](CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cnc3[nH]ccc3c2)N2CCN(CC3=C(CCC4(CCCC4)C3)c3ccc(Cl)cc3)CC2)CC1,Ki, 0.029,nM,1372805,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4(F)CCOCC4)c(F)c3)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.029,nM,704840,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4(F)CCOCC4)c(F)c3)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.029,nM,1372979,,,False
COCCNc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cccc2NC(=O)Cc12)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1 |t:46|,Ki, 0.029,nM,281644,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4(F)CCOCC4)c(F)c3)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:56|,Ki, 0.029,nM,339790,,,False
"COC1CCC(CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cnc3[nH]ccc3c2)N2CCN(CC3=C(CCC4(CCCC4)C3)c3ccc(Cl)cc3)CC2)CC1 |t:48,(-5.37,14.09,;-6.14,12.76,;-5.37,11.42,;-6.14,10.09,;-5.37,8.76,;-3.83,8.76,;-3.06,7.42,;-1.52,7.42,;-.75,6.09,;-1.52,4.75,;-.75,3.42,;.79,3.42,;1.56,4.75,;.79,6.09,;1.56,7.42,;3.1,7.42,;.79,8.76,;1.56,2.09,;.23,1.32,;2.89,2.86,;2.33,.75,;1.56,-.58,;.02,-.58,;2.33,-1.91,;1.56,-3.25,;2.33,-4.58,;3.87,-4.58,;4.64,-3.25,;3.87,-1.91,;4.64,-.58,;6.18,-.58,;6.95,.75,;8.49,.75,;9.26,-.58,;10.77,-.9,;10.93,-2.43,;9.52,-3.06,;8.49,-1.91,;6.95,-1.91,;4.64,-5.91,;6.18,-5.91,;6.95,-7.25,;6.18,-8.58,;6.95,-9.92,;6.18,-11.25,;6.95,-12.58,;6.18,-13.92,;4.64,-13.92,;3.87,-12.58,;2.97,-13.83,;1.5,-13.35,;1.5,-11.81,;2.97,-11.34,;4.64,-11.25,;8.49,-12.58,;9.26,-11.25,;10.8,-11.25,;11.57,-12.58,;13.11,-12.58,;10.8,-13.92,;9.26,-13.92,;4.64,-8.58,;3.87,-7.25,;-3.06,10.09,;-3.83,11.42,)|",Ki, 0.029,nM,339625,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4(F)CCOCC4)c(F)c3)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.029,nM,1179951,,,False
COCCNc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cccc2NC(=O)Cc12)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1,Ki, 0.029,nM,387896,,,False
CO[C@H]1CC[C@H](CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cnc3[nH]ccc3c2)N2CCN(CC3=C(CCC4(CCCC4)C3)c3ccc(Cl)cc3)CC2)CC1,Ki, 0.029,nM,1179980,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCCCN4CCCC4)c(c3)[N+]([O-])=O)c(Oc3cccc(Cl)c3F)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.03,nM,387727,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@@H]4CCN(C4)C(CF)CF)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.030,nM,1179869,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@@H]4CCN(C4)C(CF)CF)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.030,nM,704799,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4CCC(CC4)N(C4CC4)C4COC4)c(Cl)c3)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.030,nM,1373058,,,False
"CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4CCC(CC4)N(C4CC4)C4COC4)c(Cl)c3)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:65,(1.85,-10.55,;2.67,-9.24,;1.13,-9.29,;2.67,-7.7,;4,-6.93,;5.33,-7.7,;6.67,-6.93,;6.67,-5.39,;8,-4.62,;8,-3.08,;6.67,-2.31,;5.33,-3.08,;5.33,-4.62,;6.67,-.77,;8,,;8,1.54,;6.67,2.31,;6.67,3.85,;5.33,4.62,;8,4.62,;9.34,3.85,;10.11,5.18,;8.57,2.52,;10.67,3.08,;10.67,1.54,;12,.77,;13.34,1.54,;14.67,.77,;16,1.54,;17.34,.77,;18.67,1.54,;20.01,.77,;20.01,-.77,;18.67,-1.54,;17.34,-.77,;21.34,-1.54,;21.34,-3.08,;22.11,-4.41,;20.57,-4.41,;22.67,-.77,;24.16,-1.17,;24.56,.32,;23.07,.72,;13.34,3.08,;14.67,3.85,;12,3.85,;5.33,1.54,;4,2.31,;2.67,1.54,;2.67,,;1.33,-.77,;;-1.46,-.48,;-2.37,.77,;-1.46,2.02,;,1.54,;1.33,2.31,;5.33,,;5.33,-9.24,;4,-10.01,;6.67,-10.01,;8,-9.24,;9.34,-10.01,;9.34,-11.55,;10.67,-12.32,;8,-12.32,;6.67,-11.55,)|",Ki, 0.03,nM,339869,,,False
CN1CCC(CC1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1ccccc1Br)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1 |t:46|,Ki, 0.03,nM,281375,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4CCC(CC4)N(C4CC4)C4COC4)c(Cl)c3)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.030,nM,1180110,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4CCC(CC4)N(C4CC4)C4COC4)c(Cl)c3)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.030,nM,704919,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@@H]4CCN(C4)C(CF)CF)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.030,nM,1372938,,,False
CN1CCC(CC1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1Oc1ccccc1Br)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1,Ki, 0.03,nM,387621,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@@H]4CCN(C4)C(CF)CF)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:60|,Ki, 0.03,nM,339752,,,False
