smiles,standard_type,value,units,chembl_id,document_chembl_id,data_validity_comment,activity_comment,warning_flag
NC[C@H](O)c1ccc(O)c(O)c1,Ki,263.03,nM,CHEMBL1437,CHEMBL1129439,,,False
CS(=O)(=O)Nc1c(O)ccc2c1CCC[C@H]2C1=NCCN1,Ki,2818.38,nM,CHEMBL336161,CHEMBL1129439,,,False
CS(=O)(=O)Nc1c(O)ccc2c1CCC[C@@H]2C1=NCCN1,Ki,17378.01,nM,CHEMBL133451,CHEMBL1129439,,,False
CS(=O)(=O)Nc1c(O)ccc2c1CCCC2C1=NCCN1,Ki,2089.3,nM,CHEMBL109783,CHEMBL1129439,,,False
Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,Ki,204.17,nM,CHEMBL762,CHEMBL1129439,,,False
CNC[C@H](O)c1cccc(O)c1,Ki,1258.93,nM,CHEMBL1215,CHEMBL1129439,,,False
COc1ccc(OC)c(C(O)CN)c1,Ki,6918.31,nM,CHEMBL1076,CHEMBL1148329,,,False
CCS(=O)(=O)Nc1cccc2c1CCCC2c1c[nH]cn1,Ki,1318.26,nM,CHEMBL111496,CHEMBL1148329,,,False
CC(N)C(O)c1ccccc1,Ki,9549.93,nM,CHEMBL61006,CHEMBL1148329,,,False
Nc1cccc2c1CCCC2c1c[nH]cn1,Ki,524.81,nM,CHEMBL323402,CHEMBL1148329,,,False
O=S(=O)(Nc1cccc2c1CCCC2c1c[nH]cn1)c1ccc2ccccc2c1,Ki,213.8,nM,CHEMBL112814,CHEMBL1148329,,,False
COC(=O)Nc1cccc2c1CCCC2c1c[nH]cn1,Ki,10000.0,nM,CHEMBL109827,CHEMBL1148329,,,False
COc1ccc2c(c1NS(C)(=O)=O)CCCC2c1c[nH]cn1,Ki,1698.24,nM,CHEMBL110976,CHEMBL1148329,,,False
CS(=O)(=O)Nc1cccc2c1CCCC2c1c[nH]cn1,Ki,4677.35,nM,CHEMBL111554,CHEMBL1148329,,,False
CS(=O)(=O)Nc1c(O)ccc2c1CCCC2C1=NCCN1,Ki,2951.21,nM,CHEMBL109783,CHEMBL1148329,,,False
CS(=O)(=O)Nc1cccc2c1CCC=C2c1c[nH]cn1,Ki,10471.29,nM,CHEMBL3350265,CHEMBL1148329,,,False
