smiles,standard_type,value,units,chembl_id,document_chembl_id,data_validity_comment,activity_comment,warning_flag
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,Ki,600.0,nM,CHEMBL386630,CHEMBL1122309,,,False
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,Ki,600.0,nM,CHEMBL488,CHEMBL1123108,,,False
CCC1(c2ccncc2)CCC(=O)NC1=O,Ki,1100.0,nM,CHEMBL289116,CHEMBL1123108,,,False
C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,Ki,800.0,nM,CHEMBL1630273,CHEMBL1134295,,,False
C[C@]12CCCC=C1[C@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,Ki,6.0,nM,CHEMBL1630261,CHEMBL1134295,,,False
C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,Ki,5.8,nM,CHEMBL1629805,CHEMBL1134295,,,False
CCC1(c2ccncc2)CCC(=O)NC1=O,Ki,1100.0,nM,CHEMBL289116,CHEMBL1123885,,,False
CCC1(c2ccncc2)CCC(=O)NC1=O,Ki,14000.0,nM,CHEMBL289116,CHEMBL1123885,,,False
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,Ki,600.0,nM,CHEMBL488,CHEMBL1123885,,,False
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,Ki,1800.0,nM,CHEMBL488,CHEMBL1123885,,,False
CC(=O)O[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,Ki,90.0,nM,CHEMBL2112739,CHEMBL1134295,,,False
C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,Ki,3.4,nM,CHEMBL1630274,CHEMBL1134295,,,False
C[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,Ki,6.8,nM,CHEMBL1629804,CHEMBL1134295,,,False
CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,Ki,120.0,nM,CHEMBL39661,CHEMBL1123885,,,False
CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,Ki,480.0,nM,CHEMBL39661,CHEMBL1123885,,,False
