BindingDB_ID,smiles,value,standard_type,pIC50,CuratedSmiles,IsSalt,FailedSanit
50065854,CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,260.0,IC50(nM),6.585026652029182,CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,False,False
50065855,C[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,350.0,IC50(nM),6.455931955649724,C[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,False,False
50038847,CC(C)[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,1400.0,IC50(nM),5.853871964321762,CC(C)[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,False,False
50038797,CC(C)[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,1100.0,IC50(nM),5.958607314841775,CC(C)[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,False,False
50065864,CCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,510.0,IC50(nM),6.292429823902063,CCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,False,False
50038794,CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,390.0,IC50(nM),6.4089353929735005,CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,False,False
50038811,CC12CCC3C(C[C@H](Cc4ccccc4)C4=CC(=O)CCC34C)C1CCC2=O,660.0,IC50(nM),6.180456064458132,CC12CCC3C(C[C@H](Cc4ccccc4)C4=CC(=O)CCC43C)C1CCC2=O,False,False
50065875,CC12CCC3C(C[C@@H](C#C)C4=CC(=O)CCC34C)C1CCC2=O,1900.0,IC50(nM),5.721246399047171,C#C[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,False,False
50038821,CCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,240.0,IC50(nM),6.619788758288394,CCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,False,False
50038791,CC12CCC3C(C[C@@H](C4=CC(=O)CCC34C)c3ccccc3)C1CCC2=O,1100.0,IC50(nM),5.958607314841775,CC12CCC3C(C[C@H](c4ccccc4)C4=CC(=O)CCC43C)C1CCC2=O,False,False
