smiles,standard_type,mean,std,sem,n,n_outliers,BindingDB_IDs
CC#CCNS(=O)(=O)c1ccccc1C(O)=O,Ki (nM),250.0,0.0,0.0,1,0,50760777
CC#CC[Se]c1ccc(cc1)S(N)(=O)=O,Ki (nM),2.2,0.0,0.0,1,0,51097343
CC(=C)CNS(=O)(=O)c1ccc(N)cc1,Ki (nM),3462.0,0.0,0.0,1,0,51049754
CC(=C)[C@@H]1CCC(C)(O)C(C1)[Se]c1ccc(cc1)S(N)(=O)=O,Ki (nM),2.4,0.0,0.0,1,0,50988892
CC(=NNC(=O)Nc1nnc(S)s1)c1ccc(Br)cc1,Ki (nM),6850.0,0.0,0.0,1,0,50398481
CC(=NNC(=O)Nc1nnc(S)s1)c1ccc(C)cc1,Ki (nM),148900.0,0.0,0.0,1,0,50398476
CC(=NNC(=O)Nc1nnc(S)s1)c1ccc(Cl)cc1,Ki (nM),8550.0,0.0,0.0,1,0,50398478
CC(=NNC(=O)Nc1nnc(S)s1)c1ccc(O)cc1,Ki (nM),21000.0,0.0,0.0,1,0,50398463
CC(=NNC(=O)Nc1nnc(S)s1)c1ccc(cc1)[N+]([O-])=O,Ki (nM),7540.0,0.0,0.0,1,0,50398484
CC(=NNC(=O)Nc1nnc(S)s1)c1ccccc1,Ki (nM),7440.0,0.0,0.0,1,0,50398471
CC(=O)/N=C\1/N(N=C(S1)S(=O)(=O)N)C,Ki (nM),27.0,0.0,0.0,7,0,180673;19028;199254;20731;21964;23512;27883
CC(=O)C([O-])=O,Ki (nM),1120000.0,0.0,0.0,1,0,50293563
CC(=O)C1(CCN(CC1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,Ki (nM),3.1,0.0,0.0,1,0,51241217
CC(=O)C1=C(C)NC(=O)NC1c1ccc(S(N)(=O)=O)cc1,Ki (nM),39.0,0.0,0.0,1,0,51597279
CC(=O)C1=C(C)NC(=S)NC1c1ccc(S(N)(=O)=O)cc1,Ki (nM),8.1,0.0,0.0,1,0,51597280
CC(=O)C1=NN(\C(S1)=C(/C#N)C(=O)Nc1ccc(cc1)S(N)(=O)=O)c1ccccc1,Ki (nM),0.33,0.0,0.0,1,0,51051612
CC(=O)CC(=O)Nc1c(C#N)c(cn1-c1ccc(cc1)S(N)(=O)=O)-c1ccc(Br)cc1,Ki (nM),5.5,0.0,0.0,1,0,50240143
CC(=O)CN1C(=O)C=C(C)OS1(=O)=O,Ki (nM),,,,0,0,50278072
CC(=O)CN1C(=O)c2ccccc2S1(=O)=O,Ki (nM),150.0,0.0,0.0,1,0,51208132
CC(=O)COC1=NS(=O)(=O)OC(C)=C1,Ki (nM),,,,0,0,50278073
