Descriptor,Model,RMSE,Cliff_RMSE,Rank
PHYSCHEM,SVM,0.8857213165349422,1.0913069311479593,1
ECFP,GBM,0.9151341699253528,1.1512630883964101,2
ECFP,SVM,0.9111647904515756,1.1614418639415816,3
MACCS,GBM,1.0535711718408403,1.2244409910978618,4
ECFP,RF,0.9625086408579535,1.2651534717702488,5
MACCS,SVM,1.0194520478386946,1.2738987121367669,6
MACCS,KNN,1.0135231793545907,1.2884194229698271,7
MACCS,RF,1.037710821659818,1.3081542820505567,8
PHYSCHEM,GBM,1.0516625664887758,1.330504448545535,9
PHYSCHEM,RF,1.037545854159476,1.3391764270128663,10
ECFP,KNN,0.9446921598070719,1.3767860085454493,11
PHYSCHEM,KNN,1.0676531599792938,1.3926073721093046,12
WHIM,SVM,1.063200904951445,1.480502172550478,13
WHIM,RF,1.0925548761497748,1.5060855933166715,14
WHIM,KNN,1.1377138283582744,1.5524897642839448,15
WHIM,GBM,1.1475162589165189,1.6403808699891305,16
