Descriptor,Model,RMSE,Cliff_RMSE,Rank
WHIM,SVM,0.9033910230179208,0.6253744158307628,1
WHIM,GBM,0.9229459445723287,0.6425107150222552,2
PHYSCHEM,RF,0.7161112925053644,0.6451547867312384,3
MACCS,SVM,0.6080434428498148,0.6942086772372228,4
MACCS,RF,0.681289492343519,0.7068647172644803,5
WHIM,RF,0.8961820429269342,0.7710716549986496,6
PHYSCHEM,GBM,0.8465731448556136,0.7786990121981134,7
WHIM,KNN,0.814962177476856,0.7874905274014784,8
MACCS,GBM,0.6503347199355757,0.7955967107740826,9
ECFP,SVM,0.6125296145180934,0.8314612319979885,10
ECFP,KNN,0.6498260129410077,0.859088527850554,11
ECFP,RF,0.6437198427964227,1.042536312068449,12
ECFP,GBM,0.7005315225708415,1.1085993026656864,13
PHYSCHEM,SVM,0.995216994178447,1.1335595624919024,14
PHYSCHEM,KNN,0.7381597194895926,1.1418151471622768,15
MACCS,KNN,0.6875372840595878,1.3729044946216562,16
