Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,RF,0.62372650924722,0.6677808559318308,1
ECFP,GBM,0.6438455879237773,0.7104136581074343,2
ECFP,SVM,0.6423565337430317,0.7259018006546712,3
ECFP,KNN,0.7162664391592938,0.8134820463446987,4
MACCS,RF,0.741281372380647,0.8222386736393072,5
PHYSCHEM,RF,0.7640756610913745,0.8519112527020957,6
MACCS,GBM,0.7641173174156779,0.8604911479711449,7
MACCS,SVM,0.7799235853188977,0.8656998793757104,8
PHYSCHEM,SVM,0.9956132554871665,0.8668932322474123,9
WHIM,SVM,0.8418264927296101,0.8818932715829969,10
PHYSCHEM,KNN,0.8461849336713019,0.88240175490903,11
MACCS,KNN,0.8378271553320249,0.8925831057307482,12
PHYSCHEM,GBM,0.8082778282517039,0.8934645711522098,13
WHIM,RF,0.8373767664789912,0.8957075516835242,14
WHIM,KNN,0.8621361110479249,0.9149760493946875,15
WHIM,GBM,0.8255731388714492,0.9297787040520402,16
