Descriptor,Model,RMSE,Cliff_RMSE,Rank
PHYSCHEM,RF,0.9423383977535169,0.43970044219032256,1
PHYSCHEM,GBM,0.9140280896566023,0.5265419376607106,2
WHIM,GBM,1.0340392907403844,0.6104886368382717,3
PHYSCHEM,SVM,1.2537179607464715,0.6504556102279553,4
WHIM,RF,1.0753443617524276,0.6683340906016135,5
PHYSCHEM,KNN,0.9759980952120373,0.6830139954061615,6
WHIM,KNN,1.0700906601693898,0.7048927145012185,7
WHIM,SVM,1.010151024830298,0.8243034798035921,8
ECFP,RF,0.8785122632526764,0.9110404684662265,9
ECFP,SVM,0.8735058421191068,0.9196198026210085,10
ECFP,GBM,0.9521010840222051,0.9423679717399128,11
MACCS,SVM,0.9159709482237974,0.9587313482753439,12
ECFP,KNN,1.0076545737251374,1.014641092336659,13
MACCS,RF,0.8830159793158482,1.0266962752400564,14
MACCS,KNN,0.9279571425931747,1.0370569226150939,15
MACCS,GBM,0.9347040424987171,1.1073258900572542,16
