Descriptor,Model,RMSE,Cliff_RMSE,Rank
WHIM,RF,1.0135895344139545,0.8606837836513773,1
MACCS,SVM,0.7423864532993669,0.9504019978272891,2
PHYSCHEM,KNN,0.8977381095207577,0.961979910961012,3
MACCS,KNN,0.7634841530232357,0.9645296398732047,4
ECFP,RF,1.0462704242204335,0.9662817078088684,5
ECFP,SVM,0.8101074436696256,1.0100276110858992,6
PHYSCHEM,GBM,0.8429809480795881,1.0100508476929062,7
MACCS,GBM,0.7879792915127488,1.0111876303629237,8
ECFP,GBM,0.8415918175578893,1.0278857305879636,9
PHYSCHEM,RF,0.8753384649045599,1.0292657728250763,10
WHIM,GBM,1.1051048388745757,1.0327390611238547,11
ECFP,KNN,0.9123148968808724,1.0377534925661234,12
MACCS,RF,0.8476900638053683,1.0377894796041032,13
WHIM,SVM,1.2499226318437135,1.1020134333853717,14
WHIM,KNN,1.2712622962839613,1.1337575090688352,15
PHYSCHEM,SVM,1.10746277292971,1.407150867138105,16
