Descriptor,Model,RMSE,Cliff_RMSE,Rank
MACCS,GBM,0.7160938503858036,0.6387293102707631,1
PHYSCHEM,KNN,0.6572201883238291,0.6424307313101123,2
PHYSCHEM,RF,0.6781546595370999,0.649425324079475,3
PHYSCHEM,SVM,0.7454179869457167,0.6540568945744546,4
ECFP,KNN,0.5612670474661553,0.6900997631013712,5
MACCS,KNN,0.6664269488523338,0.6940153989596882,6
PHYSCHEM,GBM,0.6927437553684842,0.7051695721342831,7
MACCS,SVM,0.7490675107596964,0.7168013759974905,8
MACCS,RF,0.7006707664807181,0.7423852346040151,9
WHIM,RF,0.6623902074417144,0.7501491690182147,10
WHIM,GBM,0.640895327143328,0.755662820430863,11
ECFP,GBM,0.6302343579289609,0.7780615930634912,12
ECFP,RF,0.6907712821863458,0.8113329630614555,13
WHIM,SVM,0.7228024202147828,0.8229899130975465,14
WHIM,KNN,0.7134810665974555,0.8305974675725176,15
ECFP,SVM,0.6758451138260406,0.8479749796186865,16
