Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,SVM,0.566750159076589,0.6432386248531979,1
ECFP,GBM,0.6121737205694429,0.678212476786148,2
ECFP,RF,0.5803542526620373,0.6816679939227237,3
ECFP,KNN,0.5871685130437414,0.6829283034618316,4
MACCS,GBM,0.6538348266903374,0.7397072571593821,5
MACCS,RF,0.6466260981374735,0.7403244133836758,6
MACCS,SVM,0.6590084312950871,0.7537070059327778,7
MACCS,KNN,0.6926377178739052,0.8040811326495458,8
PHYSCHEM,RF,0.8129353902120731,0.9011687873833256,9
PHYSCHEM,GBM,0.8311741080743373,0.921440767178558,10
PHYSCHEM,KNN,0.8463719073132938,0.9238858416467225,11
PHYSCHEM,SVM,0.8966369986818243,0.9645854697824399,12
WHIM,RF,0.9405097622137142,1.0139138266479877,13
WHIM,GBM,0.9638756983744207,1.0148641896589874,14
WHIM,KNN,0.9811222443700031,1.0530051979057458,15
WHIM,SVM,0.9729148466360227,1.0641822101089211,16
