Descriptor,Model,RMSE,Cliff_RMSE,Rank
MACCS,GBM,0.7216033125950915,0.6633681973286164,1
MACCS,SVM,0.7234965519689435,0.684530018413635,2
ECFP,GBM,0.6532049025611981,0.7074429696152725,3
MACCS,KNN,0.8344207221870975,0.7093371183677993,4
PHYSCHEM,RF,0.7566147962490982,0.7378383215723008,5
ECFP,SVM,0.6405445225993294,0.7397322410965276,6
PHYSCHEM,SVM,0.8118629332554222,0.764315991085628,7
MACCS,RF,0.7659825179265359,0.7819424822618711,8
PHYSCHEM,GBM,0.7766019168925353,0.790518611245399,9
ECFP,RF,0.6864995654164777,0.8249040771007663,10
ECFP,KNN,0.8171513390707125,0.8387290660606153,11
WHIM,RF,0.702744818579617,0.8712413536776866,12
PHYSCHEM,KNN,0.8098271075113634,0.892017709561239,13
WHIM,SVM,0.7420780245965014,0.8929147996583701,14
WHIM,KNN,0.7887744145703213,0.9126941781058584,15
WHIM,GBM,0.7798256817062833,0.9255970312744847,16
