Descriptor,Model,RMSE,Cliff_RMSE,Rank
MACCS,KNN,0.5575149847763282,0.5982833824213233,1
PHYSCHEM,RF,0.6103532684616805,0.6203757989411476,2
MACCS,RF,0.553862817341567,0.6257406188985566,3
PHYSCHEM,KNN,0.62967902829907,0.625809631303953,4
ECFP,RF,0.5344928426064696,0.6651377431656204,5
ECFP,KNN,0.5287396336755169,0.6706182190034091,6
MACCS,GBM,0.575849691013286,0.6708466759020326,7
MACCS,SVM,0.5637223756791461,0.6787955237348401,8
ECFP,GBM,0.5518042451338567,0.6895292050284216,9
ECFP,SVM,0.5370209459286064,0.6908551803334718,10
PHYSCHEM,SVM,0.658807650349389,0.7105242424962476,11
PHYSCHEM,GBM,0.6430157707617054,0.724392940673121,12
WHIM,KNN,0.7888003291889947,0.764242066923372,13
WHIM,GBM,0.7208784147147466,0.7988253929473494,14
WHIM,RF,0.6949101380315623,0.8082027986323217,15
WHIM,SVM,0.6990282121512731,0.8471461100487728,16
