Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,RF,0.7039591077295796,0.6739680125177854,1
ECFP,SVM,0.7391721893268381,0.6884291942268317,2
ECFP,GBM,0.787987647543523,0.7429708444515947,3
ECFP,KNN,0.8833059048752372,0.7442999726062232,4
MACCS,RF,0.8615091112401757,0.8069713053774572,5
MACCS,GBM,0.8829210802617596,0.8623623866528797,6
MACCS,SVM,0.8984777056104671,0.9048839946749908,7
PHYSCHEM,SVM,1.0417807676645563,0.9187311147985352,8
MACCS,KNN,1.0144331005671003,0.9198526473397696,9
PHYSCHEM,GBM,1.010505310994547,0.9235640001311765,10
WHIM,RF,0.9099550004195814,0.9454868767507497,11
WHIM,GBM,0.9325563697561711,0.9533798017187985,12
PHYSCHEM,KNN,1.088320650539836,0.960677750734507,13
PHYSCHEM,RF,1.0326885918315258,0.9657649728495593,14
WHIM,KNN,1.06584988740832,1.0505793397750471,15
WHIM,SVM,1.019138354166783,1.1107339724559941,16
