Descriptor,Model,RMSE,Cliff_RMSE,Rank
PHYSCHEM,GBM,0.7731375019450814,0.794122544628833,1
ECFP,KNN,0.8890643641516626,0.8218354714023312,2
PHYSCHEM,RF,0.7666919391942053,0.8625969774743556,3
PHYSCHEM,KNN,0.8163686628158598,0.9033322639064599,4
WHIM,RF,0.8944612773461807,0.9333121342179952,5
ECFP,SVM,0.7731862160468325,0.9669941409176773,6
MACCS,KNN,0.9480850341113057,1.0065951956407475,7
ECFP,GBM,0.7924911762449539,1.019298242806467,8
ECFP,RF,0.7670742806346624,1.0526609203386297,9
WHIM,GBM,0.9145018787849795,1.065979278953909,10
WHIM,SVM,0.8982080109830239,1.0706448920847096,11
WHIM,KNN,0.8744077632280579,1.0735016292037511,12
MACCS,SVM,0.8246233474759942,1.0843249011703948,13
PHYSCHEM,SVM,0.9010426111993728,1.1445118317274379,14
MACCS,RF,0.8244995473126735,1.1602353289283867,15
MACCS,GBM,0.7859403303580785,1.220913454973369,16
