Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,GBM,0.6374488720620616,0.6767929356424326,1
PHYSCHEM,GBM,0.6795684977342347,0.7101123050311399,2
PHYSCHEM,RF,0.6867089475929649,0.7146281466259792,3
ECFP,SVM,0.6553804985379337,0.740029127689199,4
ECFP,RF,0.6865993735572579,0.7670664908011597,5
PHYSCHEM,KNN,0.8663225878083001,0.7930859563010264,6
PHYSCHEM,SVM,0.8848853682179912,0.851147833612325,7
ECFP,KNN,0.7935634740022457,0.8591178372276153,8
MACCS,RF,0.8653315285177072,0.9708072377736178,9
MACCS,GBM,0.8123609284098638,0.9997339480515582,10
MACCS,SVM,0.8436876818527488,1.0471448193277717,11
MACCS,KNN,0.9384912904765392,1.196159216096431,12
WHIM,GBM,0.9928287051162304,1.404491157111153,13
WHIM,KNN,1.1139169523152963,1.4880115336348494,14
WHIM,RF,1.081791775114918,1.5043681797647723,15
WHIM,SVM,1.2474650548655961,1.866472155850584,16
