Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,SVM,0.5853830444623188,0.6043064239401661,1
ECFP,GBM,0.6217580298120928,0.6512221588833643,2
ECFP,RF,0.6180531760778066,0.6739964321787215,3
ECFP,KNN,0.7140131040662687,0.7429045216260358,4
MACCS,RF,0.7479135430387286,0.7962723214175222,5
MACCS,SVM,0.7609214090184226,0.815228710281372,6
MACCS,GBM,0.760555845820748,0.8412605227228998,7
MACCS,KNN,0.8204278368392726,0.8451832417359517,8
PHYSCHEM,GBM,0.8126413841968694,0.8528814763608629,9
PHYSCHEM,SVM,0.8621429071234649,0.8586640312668756,10
PHYSCHEM,RF,0.8311935023477452,0.8657662432623969,11
PHYSCHEM,KNN,0.858901990218962,0.9035246683277832,12
WHIM,SVM,0.9975454463367238,0.9681675207528803,13
WHIM,GBM,1.0095072694703258,0.9869348819120124,14
WHIM,RF,1.0103538262481022,0.9962505280815317,15
WHIM,KNN,1.0259782221633822,1.002676973927537,16
