Descriptor,Model,RMSE,Cliff_RMSE,Rank
WHIM,RF,0.6158965826204076,0.47356928166170975,1
WHIM,GBM,0.6430532839236478,0.5637036406852578,2
WHIM,KNN,0.7530449460531304,0.5730766670443852,3
ECFP,SVM,0.5331353424585376,0.7390407020638254,4
MACCS,SVM,0.5876667661266257,0.744003232470515,5
WHIM,SVM,0.727014984624486,0.7698901141569463,6
ECFP,RF,0.6924988289402806,0.8104713668876027,7
MACCS,RF,0.6047551788884841,0.8148993173115738,8
ECFP,GBM,0.6173097659542597,0.8170029871734183,9
PHYSCHEM,RF,0.5832184398881786,0.8734380145846704,10
MACCS,GBM,0.6285662661011997,0.8850025736144619,11
ECFP,KNN,0.627227571382356,0.8855329820795845,12
MACCS,KNN,0.6283604290707401,0.9408107876190086,13
PHYSCHEM,KNN,0.6764876876702669,0.9560717113417516,14
PHYSCHEM,SVM,0.7700283339265219,0.9803792680763586,15
PHYSCHEM,GBM,0.6870801486389573,0.9948700006541805,16
