Descriptor,Model,RMSE,Cliff_RMSE,Rank
MACCS,GBM,0.49169719088739494,0.4929994578539071,1
MACCS,SVM,0.551191008269122,0.5958010656186226,2
MACCS,RF,0.6030615052370497,0.6166866951278123,3
ECFP,KNN,0.692094878814978,0.6648912280840289,4
MACCS,KNN,0.6535939599174372,0.6759081236838205,5
PHYSCHEM,SVM,0.7239371712464981,0.6853783524875103,6
PHYSCHEM,GBM,0.6432498999443625,0.6864043087242907,7
PHYSCHEM,RF,0.6600778204395982,0.7044791674843481,8
PHYSCHEM,KNN,0.7601471348238836,0.7307536837837643,9
WHIM,GBM,0.7131681082826666,0.7580876688475557,10
WHIM,KNN,0.6614209023760084,0.7959699056279571,11
WHIM,RF,0.801729694309843,0.8045152541628434,12
ECFP,RF,0.7059452704380305,0.8165004758806541,13
ECFP,SVM,0.7043225902580924,0.8492436441317956,14
ECFP,GBM,0.7452295184842472,0.8619123941653242,15
WHIM,SVM,0.7188843243273806,0.8715374810748672,16
