Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,RF,0.6492961283976627,0.6162854905653667,1
ECFP,SVM,0.6250931233209506,0.6495181698972377,2
ECFP,KNN,0.6780009532179346,0.669517363353638,3
MACCS,SVM,0.7468725410369301,0.6899891687625955,4
MACCS,GBM,0.743405429347933,0.691953585066033,5
ECFP,GBM,0.6722423701857839,0.7110898421999297,6
MACCS,RF,0.7851351786191951,0.7313499924187586,7
MACCS,KNN,0.9671487203671891,0.7465117557653099,8
PHYSCHEM,KNN,0.9021853995198112,0.8814378719093268,9
PHYSCHEM,GBM,0.928356596255178,0.8825161494600731,10
WHIM,RF,0.9068887921228695,0.9095273327732902,11
WHIM,GBM,0.9230287343346502,0.917466446473443,12
PHYSCHEM,RF,0.9053456886586031,0.9190869421293802,13
WHIM,SVM,0.9225334043103655,0.9456947654468583,14
PHYSCHEM,SVM,1.1285386526480008,0.9662346880989243,15
WHIM,KNN,0.9354868528457895,1.0344122106041955,16
