Descriptor,Model,RMSE,Cliff_RMSE,Rank
WHIM,SVM,0.9953096185572848,0.8633900306118469,1
WHIM,GBM,0.9590877197084514,0.8833148221906858,2
WHIM,KNN,0.9440704792279193,0.8874431089544704,3
ECFP,GBM,0.846766466911749,0.9469394677247112,4
WHIM,RF,1.0451449882085824,1.0000592927688883,5
ECFP,SVM,0.8212016131577706,1.0239857025756196,6
ECFP,RF,0.8798977999446337,1.0979562286096358,7
PHYSCHEM,GBM,1.132908965869141,1.1027101483040407,8
MACCS,RF,0.9027322639400073,1.1116236080588842,9
ECFP,KNN,0.8260951520564199,1.1233053370452575,10
PHYSCHEM,RF,1.11761057274401,1.1265417990366642,11
PHYSCHEM,KNN,1.0077953180499268,1.2144971854439952,12
MACCS,KNN,0.983795762103159,1.236199974253064,13
PHYSCHEM,SVM,1.2524357356350988,1.2380904197348954,14
MACCS,GBM,0.9592525742123539,1.3018706340980495,15
MACCS,SVM,0.9771991967277063,1.3325020284833442,16
