Descriptor,Model,RMSE,Cliff_RMSE,Rank
WHIM,KNN,0.7772396512941807,0.6284649255905361,1
MACCS,RF,0.677396402841689,0.6415023878731004,2
PHYSCHEM,RF,0.7169101537612986,0.6448850171937395,3
ECFP,RF,0.6999483060794016,0.6569506583272183,4
WHIM,RF,0.7654467749381639,0.6613431356910779,5
ECFP,SVM,0.6978894175150625,0.6705308514568056,6
ECFP,KNN,0.7091202840825271,0.6985352862561538,7
MACCS,SVM,0.6725944118591418,0.7025364387053032,8
ECFP,GBM,0.7584764754135571,0.7142979344368755,9
MACCS,GBM,0.7283466079638831,0.7228689441361421,10
WHIM,GBM,0.8111929243560368,0.7260619415977158,11
PHYSCHEM,SVM,0.9177568256018935,0.7386375928604764,12
PHYSCHEM,GBM,0.7655320021548199,0.7410136864122238,13
PHYSCHEM,KNN,0.7447561633021377,0.7497780008651856,14
MACCS,KNN,0.7747378699092329,0.7514430546819597,15
WHIM,SVM,0.7964178569474158,0.8111516111123916,16
