Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,SVM,0.6090818447319306,0.64329341430883,1
ECFP,GBM,0.6373555034199326,0.692445423396371,2
ECFP,KNN,0.6490362998534325,0.7016903580749289,3
ECFP,RF,0.6756251379590119,0.7223169110985647,4
MACCS,GBM,0.6807960263135672,0.7492965080796078,5
MACCS,RF,0.7023357704835391,0.7954630497203873,6
MACCS,SVM,0.7091082121272448,0.8181711593814937,7
WHIM,GBM,0.8892658205189901,0.8776234527178504,8
WHIM,RF,0.8889763428616806,0.8831760460754094,9
MACCS,KNN,0.7987862899820145,0.8892025379105375,10
WHIM,KNN,0.9528141804264997,0.9028176265036965,11
WHIM,SVM,0.9146665297115117,0.9071957390441048,12
PHYSCHEM,SVM,0.8575840694537394,0.9158754167930275,13
PHYSCHEM,GBM,0.8376871222755786,0.9271271603202561,14
PHYSCHEM,KNN,0.9073687754115709,0.9504861057867037,15
PHYSCHEM,RF,0.8680140511536485,0.9677690351963034,16
