Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,SVM,0.6287989046728819,0.7052322783330458,1
WHIM,GBM,0.6528858211877598,0.709853205627829,2
WHIM,KNN,0.7851161244423394,0.7443568051329633,3
ECFP,GBM,0.6861511647389553,0.7498928482288042,4
WHIM,RF,0.6671383303600734,0.7499036904833549,5
ECFP,RF,0.6170307348523935,0.7527904425038359,6
WHIM,SVM,0.7943492322553144,0.7587330459260511,7
PHYSCHEM,RF,0.6277130212670249,0.764592310785209,8
ECFP,KNN,0.7694664393414471,0.796055348474792,9
PHYSCHEM,KNN,0.7066081265203847,0.8127578712155918,10
PHYSCHEM,SVM,0.857765592483684,0.8594171683294769,11
PHYSCHEM,GBM,0.7155355825958918,0.8654112000969124,12
MACCS,RF,0.7108986816067198,0.8707934934590389,13
MACCS,SVM,0.7431026009846587,0.9473218342348179,14
MACCS,KNN,0.815104729079547,0.947729184777307,15
MACCS,GBM,0.7761311165758824,1.018782509656402,16
