Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,SVM,0.6876172453641965,0.8280717891100291,1
ECFP,GBM,0.7452663930998784,0.9177284288009753,2
ECFP,RF,0.763066626415766,0.9181866862284166,3
MACCS,RF,0.815471106219566,0.9571054551830294,4
MACCS,GBM,0.796443454950806,0.9651641180919384,5
ECFP,KNN,0.7796567993219569,0.9744594527502675,6
MACCS,SVM,0.8127478162625863,0.9841700777890839,7
MACCS,KNN,0.8761352450269536,1.0226457431735307,8
PHYSCHEM,RF,1.101297872154842,1.159572919700022,9
PHYSCHEM,GBM,1.106109729214672,1.1769771798910926,10
PHYSCHEM,KNN,1.1186545417426224,1.1854150287595864,11
PHYSCHEM,SVM,1.1897926247346307,1.3181367318906312,12
WHIM,RF,1.2948811639263667,1.3791860451189526,13
WHIM,GBM,1.2907757241806013,1.3973211866935638,14
WHIM,SVM,1.3051436203947964,1.4324384334704052,15
WHIM,KNN,1.3447322795321557,1.4324451958635749,16
