Descriptor,Model,RMSE,Cliff_RMSE,Rank
ECFP,SVM,0.5685688384170611,0.7217240968966329,1
ECFP,GBM,0.6212727908022044,0.7893641464045733,2
ECFP,RF,0.624305676065659,0.8292802361916572,3
MACCS,GBM,0.6828682446963438,0.8587480215417912,4
ECFP,KNN,0.6701515917044587,0.8884385177326986,5
MACCS,RF,0.677632647069997,0.8888552494628444,6
MACCS,SVM,0.680828758126288,0.89715630145081,7
MACCS,KNN,0.7651838413357335,0.9457493048462559,8
PHYSCHEM,SVM,0.7991265545928585,0.9552632439769568,9
PHYSCHEM,RF,0.8002720698326967,0.9588447840098894,10
PHYSCHEM,GBM,0.746396506171899,0.9676194210513213,11
WHIM,RF,0.8451574278630607,0.9829595905783266,12
WHIM,SVM,0.7819317561773718,0.9875804347757117,13
WHIM,GBM,0.8176875921512101,0.9922636994979231,14
WHIM,KNN,0.82074718175849,0.9994436819778806,15
PHYSCHEM,KNN,0.7971896150872725,1.0303686646355772,16
