Metric,Value
n (Total molecules),6008
nTRAIN (Train molecules),4803
nTEST (Test molecules),1205
Cliff (Total cliff molecules),2361
Cliff TRAIN (Train cliff molecules),1888
Cliff TEST (Test cliff molecules),473
%cliff (% of cliffs in full dataset),39.30
%cliffTRAIN (% of cliffs in train set),39.31
%cliffTEST (% of cliffs in test set),39.25
